Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2025-04-07 00:00:00-04:00,343.7519,309.0533,159.6459,326.7646,403.5786,150.8162
2025-04-14 00:00:00-04:00,343.7519,298.1576,157.1161,311.1743,403.7629,140.5304
2025-04-21 00:00:00-04:00,343.7519,325.9050,164.0313,332.0747,404.0435,153.8289
2025-04-28 00:00:00-04:00,343.7519,343.7214,169.3773,366.7691,404.4503,159.0374
2025-05-05 00:00:00-04:00,343.7519,333.8047,169.7174,369.5104,403.7600,162.5609
2025-05-12 00:00:00-04:00,343.7519,358.4309,178.3569,383.2862,403.9358,182.2060
2025-05-19 00:00:00-04:00,343.7519,356.1243,174.2698,380.0804,404.1626,178.2916
2025-05-26 00:00:00-04:00,343.7519,365.0278,176.2328,389.6883,404.5056,183.9268
2025-06-02 00:00:00-04:00,343.7519,381.5095,177.2650,397.7601,404.5127,190.4630
2025-06-09 00:00:00-04:00,343.7519,376.3514,176.7996,400.2568,404.7310,191.5301
2025-06-16 00:00:00-04:00,343.7519,372.2635,182.7960,400.8147,404.0974,193.2882
2025-06-23 00:00:00-04:00,343.7519,399.3698,190.0214,414.6331,404.0832,209.5122
2025-06-30 00:00:00-04:00,343.7519,394.9490,195.3257,417.3616,404.0265,211.6168
2025-07-07 00:00:00-04:00,343.7519,391.4091,190.6968,421.1413,404.2647,215.7695
2025-07-14 00:00:00-04:00,343.7519,388.7402,193.3407,428.0650,403.9330,220.0905
2025-07-21 00:00:00-04:00,343.7519,394.3355,197.7473,431.2339,404.4815,221.7264
2025-07-28 00:00:00-04:00,343.7519,399.5342,192.2016,439.2394,404.6644,220.5373
2025-08-04 00:00:00-04:00,343.7519,416.3558,191.8359,442.6764,404.6077,231.5587
2025-08-11 00:00:00-04:00,343.7519,424.0915,192.8731,439.9460,405.4823,231.6833
2025-08-18 00:00:00-04:00,343.7519,409.6852,193.9223,426.5232,405.6750,224.7986
2025-08-25 00:00:00-04:00,343.7519,417.4989,195.5170,426.7412,405.5523,228.5990
2025-08-27 00:00:00-04:00,343.7519,415.7155,195.5170,428.9783,405.5908,232.0277
2025-08-29 00:00:00-04:00,343.7519,416.0627,199.4259,429.4437,405.5865,225.0274
2025-09-01 00:00:00-04:00,442.2517,437.0685,202.2917,433.3926,391.8404,229.4433
2025-09-05 00:00:00-04:00,442.2517,437.0849,202.2917,433.3926,391.8404,229.4433
2000-01-01 00:00:00-05:00,442.2517,436.5987,208.8266,405.0042,75.4156,229.4433
2000-02-01 00:00:00-05:00,442.2517,436.8603,205.9908,406.3060,73.0517,229.4433
2000-03-01 00:00:00-05:00,442.2517,436.5648,210.6518,406.5103,73.6470,229.4433
2000-04-01 00:00:00-05:00,442.2517,436.5359,210.0023,406.6108,77.3228,229.4433
2000-05-01 00:00:00-04:00,442.2517,436.5245,212.1642,406.1788,77.5614,229.4433
2000-06-01 00:00:00-04:00,442.2517,436.6419,210.3177,406.8318,83.1906,229.4433
2000-07-01 00:00:00-04:00,442.2517,436.5910,215.8614,406.3563,83.4407,229.4433
2000-08-01 00:00:00-04:00,442.2517,436.7058,220.0592,407.2001,77.1621,229.4433
2000-09-01 00:00:00-04:00,442.2517,436.7163,217.1626,406.5471,78.9934,229.4433
2000-10-01 00:00:00-04:00,442.2517,436.5148,215.8691,405.8640,80.5444,229.4433
2000-11-01 00:00:00-05:00,442.2517,436.3855,213.3609,405.1675,81.9123,229.4433
2000-12-01 00:00:00-05:00,442.2517,436.3498,214.7859,405.4421,82.1826,229.4433
2001-01-01 00:00:00-05:00,442.2517,436.3478,218.7269,405.4488,78.5389,229.4433
