ticker,screen_type,signal_type,signal_date,current_price,signal_price,sma,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
LULU,pvb,Sell,2025-09-01,167.8000030517578,167.8000030517578,194.50250244140625,97385940.0,19073700.0,4,-13.728614827304108,92.87758536623727,410.5770773368565,412.2723056143291,32.00999450683588,-16.02021665479929,0.0
GOOGL,pvb,Buy,2025-09-01,235.0489959716797,235.0,215.9700012207031,295548081.0,150196200.0,4,8.834094847959673,-68.98128914047092,96.77467272807168,109.60600354107731,26.55999755859375,12.742274634188764,0.02084934965093085
GOOG,pvb,Buy,2025-09-01,235.1699981689453,235.1699981689453,216.51750183105466,185487867.0,96820400.0,4,8.614775332316981,-73.01422324220928,91.57932315916895,104.37810852826378,26.17999267578122,12.526911329564777,0.0
NVDA,pvb,Sell,2025-09-01,167.02000427246094,167.02000427246094,175.6525001525879,982481103.0,749836800.0,4,-4.914530605956635,-70.06796212189106,31.025991655784303,50.026404755496834,2.9799957275390625,-1.752938663258272,0.0
MSFT,pvb,Sell,2025-09-01,495.0,495.0,503.17250061035156,113755644.0,103963000.0,4,-1.6241946053169198,-69.22477612227426,9.419354962823313,25.096101397741172,5.470001220703125,-1.0929728469960578,0.0
ASML,pvb,Buy,2025-09-01,781.7000122070312,781.7000122070312,762.1950073242188,8480047.0,7865900.0,4,2.55905702548318,-76.3038558842599,7.80771431114049,11.669516712720107,64.489990234375,8.991785984389617,0.0
BRK-B,pvb,Close Sell,2025-09-01,499.7699890136719,499.7699890136719,494.4024963378906,19596484.0,31298400.0,4,1.0856524219717834,-86.52651892748511,-37.388224318176015,0.0,4.470001220703125,-0.8864828865765746,0.0
LLY,pvb,Close Buy,2025-09-01,727.2100219726562,727.2100219726562,744.0149230957031,15774550.0,142293861.0,4,-2.258677964835021,-97.22254356426522,-88.91410360985286,0.0,0.77996826171875,-0.10713997062894239,0.0
KO,pvb,Close Buy,2025-09-05,67.95999908447266,67.95999908447266,68.19999885559082,16753915.0,408239600.0,0,-0.35190582865894937,-95.89605834416848,-95.89605834416848,0.0,0.0500030517578125,-0.0735230851157035,0.0
AMD,pvb,Close Buy,2025-09-01,151.13999938964844,151.13999938964844,161.06500244140625,257239635.0,439716300.0,4,-6.1621102668585115,-82.20308185072966,-41.49872656528767,0.0,7.279998779296875,-4.595378653857323,0.0
