time,open,high,low,close,Plot
1162218600,0.64,0.64,0.61,0.64,NaN
1162823400,0.55,0.79,0.55,0.79,NaN
1163428200,0.59,0.59,0.47,0.47,NaN
1164033000,0.54,0.63,0.52,0.52,NaN
1164637800,0.68,0.68,0.53,0.59,NaN
1165242600,0.64,0.69,0.54,0.55,NaN
1165847400,0.57,0.7,0.45,0.5,NaN
1166452200,0.59,0.67,0.45,0.66,NaN
1167057000,0.62,0.73,0.54,0.54,NaN
1167661800,0.59,0.59,0.51,0.59,NaN
1168266600,0.71,0.71,0.54,0.56,NaN
1168871400,0.56,0.6,0.55,0.55,NaN
1169476200,0.62,0.71,0.58,0.66,NaN
1170081000,0.6,0.7,0.56,0.7,NaN
1170685800,0.57,0.68,0.55,0.68,NaN
1171290600,0.78,0.78,0.54,0.55,NaN
1171895400,0.65,0.73,0.65,0.73,NaN
1172500200,0.75,0.87,0.73,0.8,NaN
1173105000,0.96,0.96,0.7,0.82,NaN
1173706200,0.75,0.98,0.75,0.84,NaN
1174311000,0.61,0.73,0.61,0.65,NaN
1174915800,0.69,0.89,0.62,0.67,NaN
1175520600,0.63,0.74,0.55,0.55,NaN
1176125400,0.61,0.73,0.61,0.67,NaN
1176730200,0.56,0.67,0.5,0.5,NaN
1177335000,0.58,0.73,0.58,0.58,NaN
1177939800,0.64,0.73,0.54,0.54,NaN
1178544600,0.45,0.68,0.45,0.62,NaN
1179149400,0.51,0.7,0.49,0.51,NaN
1179754200,0.55,0.67,0.55,0.55,NaN
1180359000,0.58,0.65,0.5,0.5,NaN
1180963800,0.52,0.72,0.52,0.6,NaN
1181568600,0.71,0.71,0.48,0.48,NaN
1182173400,0.58,0.63,0.58,0.62,NaN
1182778200,0.76,0.76,0.59,0.65,NaN
1183383000,0.54,0.59,0.53,0.53,NaN
1183987800,0.52,0.59,0.48,0.5,NaN
1184592600,0.54,0.73,0.54,0.69,NaN
1185197400,0.54,0.85,0.54,0.77,NaN
1185802200,0.71,0.87,0.71,0.8,NaN
1186407000,0.84,0.84,0.6,0.6,NaN
