ticker,monthly_monthly_monthly_1m_rs_vs_QQQ,monthly_monthly_monthly_1m_stock_return,monthly_monthly_monthly_1m_benchmark_return_QQQ,date,monthly_monthly_monthly_3m_rs_vs_QQQ,monthly_monthly_monthly_3m_stock_return,monthly_monthly_monthly_3m_benchmark_return_QQQ,monthly_monthly_monthly_6m_rs_vs_QQQ,monthly_monthly_monthly_6m_stock_return,monthly_monthly_monthly_6m_benchmark_return_QQQ,timeframe
AAPL,1.0224,0.0325,0.0099,2025-09-01,1.0385,0.0362,-0.0022,1.1031,0.1219,0.0171,monthly
ABBV,1.0003,0.0103,0.0099,2025-09-01,1.0125,0.0103,-0.0022,1.1152,0.1342,0.0171,monthly
ACN,0.9711,-0.0193,0.0099,2025-09-01,0.9829,-0.0193,-0.0022,0.9431,-0.0407,0.0171,monthly
AFRM,0.9777,-0.0125,0.0099,2025-09-01,0.9896,-0.0125,-0.0022,1.2526,0.2741,0.0171,monthly
AMD,0.9202,-0.0707,0.0099,2025-09-01,0.8533,-0.1486,-0.0022,0.8926,-0.0921,0.0171,monthly
AMGN,0.9762,-0.0141,0.0099,2025-09-01,0.9589,-0.0433,-0.0022,0.9096,-0.0748,0.0171,monthly
AMZN,1.0046,0.0145,0.0099,2025-09-01,1.0079,0.0056,-0.0022,0.9870,0.0038,0.0171,monthly
ANET,1.0359,0.0461,0.0099,2025-09-01,1.0485,0.0461,-0.0022,1.1398,0.1593,0.0171,monthly
APP,1.0143,0.0243,0.0099,2025-09-01,1.1200,0.1175,-0.0022,1.3236,0.3463,0.0171,monthly
ASML,1.0423,0.0526,0.0099,2025-09-01,1.0556,0.0533,-0.0022,1.0806,0.0991,0.0171,monthly
AVGO,1.1150,0.1261,0.0099,2025-09-01,1.0956,0.0932,-0.0022,1.1347,0.1541,0.0171,monthly
AZN,1.0125,0.0225,0.0099,2025-09-01,1.0342,0.0320,-0.0022,1.1132,0.1322,0.0171,monthly
