Date,Consumer non-durables,Electronic technology,Finance,Health technology,Retail trade,Technology services
2024-01-02 00:00:00-05:00,110.9636,122.3277,122936.6964,293.9277,198.6769,246.2744
2024-01-03 00:00:00-05:00,110.4398,120.7674,124335.2235,301.6243,196.7441,246.0877
2024-01-04 00:00:00-05:00,110.6871,120.0033,123330.4705,301.0703,194.7291,244.9190
2024-01-05 00:00:00-05:00,109.9818,120.4246,123945.0198,302.4071,196.1646,245.2922
2024-01-08 00:00:00-05:00,110.8476,124.2527,124946.4506,305.8077,199.5629,250.2154
2024-01-09 00:00:00-05:00,110.7059,124.5394,124437.0483,305.7053,201.4428,251.0153
2024-01-10 00:00:00-05:00,110.6715,125.4129,124681.4597,310.1130,204.4148,255.4803
2024-01-11 00:00:00-05:00,110.9772,125.6887,123363.9492,311.2258,205.3893,256.5008
2024-01-12 00:00:00-05:00,111.0666,125.6807,123387.5180,314.0917,205.8406,258.7764
2024-01-16 00:00:00-05:00,110.2057,125.8567,122431.2598,310.5058,204.8800,257.6878
2024-01-17 00:00:00-05:00,109.9933,125.3931,121923.9809,308.5417,203.9631,257.1102
2024-01-18 00:00:00-05:00,109.8330,129.3321,122868.9459,308.2204,205.6400,260.8041
2024-01-19 00:00:00-05:00,109.4745,132.9264,124486.3365,310.5942,207.8954,264.4723
2024-01-22 00:00:00-05:00,109.4759,133.9987,124845.5354,311.8302,206.7035,263.6892
2024-01-23 00:00:00-05:00,111.5439,134.8627,126144.8087,310.9044,206.3946,265.7060
2024-01-24 00:00:00-05:00,110.2765,137.7386,127674.0159,311.0167,206.4655,270.5231
2024-01-25 00:00:00-05:00,111.7238,138.1084,128843.8298,310.1886,206.8069,273.6361
2024-01-26 00:00:00-05:00,111.9874,136.8415,130203.6314,313.7800,208.6686,273.9172
2024-01-29 00:00:00-05:00,112.4269,137.8061,129422.9164,315.9303,210.2202,277.3713
2024-01-30 00:00:00-05:00,112.9722,136.1186,130738.2814,315.9200,209.5339,275.5290
2024-01-31 00:00:00-05:00,111.7476,133.9359,129250.1655,316.1747,206.4102,266.1169
2024-02-01 00:00:00-05:00,113.7965,136.1871,130051.6822,322.4204,210.6588,269.4553
2024-02-02 00:00:00-05:00,113.1946,137.7364,131816.0101,324.2515,218.1563,284.0635
2024-02-05 00:00:00-05:00,112.5885,140.0819,131794.2593,336.3354,217.0608,280.5032
2024-02-06 00:00:00-05:00,112.8403,139.8602,132457.7666,336.9727,216.7127,279.7144
2024-02-07 00:00:00-05:00,112.8906,141.7125,134006.3594,342.2861,219.0967,285.3349
2024-02-08 00:00:00-05:00,112.4472,141.4724,133491.9118,344.4083,219.1362,285.5701
2024-02-09 00:00:00-05:00,111.8675,143.7401,133958.7414,345.4968,221.7133,288.5264
2024-02-12 00:00:00-05:00,111.9088,142.4890,133512.6322,344.2659,220.8329,286.2927
