Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2005-11-01 00:00:00-05:00,,18.7711,120.3743,10.1184,30.5652,
2005-12-01 00:00:00-05:00,,18.4925,121.6442,9.8052,32.5298,
2006-01-01 00:00:00-05:00,,20.0546,116.7271,10.0943,31.9937,
2006-02-01 00:00:00-05:00,,19.9786,117.0137,9.9738,31.6691,
2006-03-01 00:00:00-05:00,,20.2573,119.7164,10.9937,32.1026,
2006-04-01 00:00:00-05:00,,19.8604,127.6420,11.7164,31.1372,
2006-05-01 00:00:00-04:00,4.0892,18.9569,126.6633,11.4193,31.0342,
2006-06-01 00:00:00-04:00,4.3677,19.5649,124.5211,11.6361,32.4723,
2006-07-01 00:00:00-04:00,4.1738,15.1402,126.2139,12.0216,33.5704,
2006-08-01 00:00:00-04:00,5.0865,17.0908,128.3974,12.5757,33.7295,
2006-09-01 00:00:00-04:00,6.4014,17.0570,131.3734,14.2460,34.3962,
2006-10-01 00:00:00-04:00,6.7426,17.4623,132.5640,14.8322,34.5784,
2006-11-01 00:00:00-05:00,9.2705,22.0305,131.3308,15.2980,33.3934,
2006-12-01 00:00:00-05:00,8.9735,20.3080,145.6776,13.7642,33.1061,
2007-01-01 00:00:00-05:00,10.1634,20.1813,144.0639,13.7802,34.0008,
2007-02-01 00:00:00-05:00,9.7736,21.3635,132.9256,13.1940,32.6065,
2007-03-01 00:00:00-05:00,9.6878,21.2115,136.4842,14.5592,32.6529,
2007-04-01 00:00:00-04:00,10.1839,23.0945,141.4210,15.0972,35.4818,
2007-05-01 00:00:00-04:00,13.6561,25.1886,143.2368,15.5630,35.0887,
2007-06-01 00:00:00-04:00,15.1463,26.7930,136.7539,15.8280,33.9718,
2007-07-01 00:00:00-04:00,14.6967,25.0704,125.6125,15.3542,33.0725,
2007-08-01 00:00:00-04:00,12.5206,27.1899,127.8517,16.2857,34.5445,
2007-09-01 00:00:00-04:00,13.5241,28.4902,128.3957,17.3859,35.5097,
2007-10-01 00:00:00-04:00,17.3573,28.7858,117.0647,17.8035,34.3722,
