# ================================================================,,
# SECTION 0 — QUICK REFERENCE (settings changed most often),,
# ================================================================,,
# ticker_choice:      0=TW universe  1=SP500  2=NASDAQ100  3=all NASDAQ,,
#                     4=Russell1000  5=indexes  6=portfolio  7=ETFs  8=test,,
# MARKET_BREADTH_universe scope must match what downloadData_v1 downloaded,,
# ----------------------------------------------------------------,,
ticker_choice,0s,Ticker combination choice (0-8)
# --- Phase flags (execution order) ---,,
PRE_PROCESS,FALSE,Pre-process TradingView data
MARKET_HEALTH,TRUE,Layer 1: SR + market breadth + market pulse
BASIC,TRUE,Layer 2: basic calcs + stage analysis + RS + percentile
SCREENERS,TRUE,Layer 3: all screeners
POST_PROCESS,TRUE,Post-processing and report generation
BACKTESTING,FALSE,Backtesting analysis
# --- Screener enable flags (all screeners) ---,,
PVB_TWmodel_enable,TRUE,Enable PVB TWmodel screener
MINERVINI_enable,TRUE,Enable Minervini Template screener
QULLAMAGGIE_SUITE_enable,TRUE,Enable Qullamaggie screener
GIUSTI_enable,TRUE,Enable Giusti momentum cascade screener (12m→6m→3m top 10)
DRWISH_enable,TRUE,Enable Dr. Wish suite screener
STOCKBEE_SUITE_enable,TRUE,Enable Stockbee Suite screener
ATR1_enable,TRUE,Enable ATR1 screener
ADL_SCREENER_enable,TRUE,Enable ADL screener
GUPPY_SCREENER_enable,TRUE,Enable Guppy GMMA screener
GOLD_LAUNCH_PAD_enable,TRUE,Enable Gold Launch Pad screener
RTI_enable,TRUE,Enable RTI (Range Tightening) screener
VOLUME_SUITE_enable,TRUE,Enable Volume Suite screener
STSCOOTER_SCREENER_enable,TRUE,Enable stSCOOTER screener (runs first — reads basic_calc only)
FASTSCOOTER_SCREENER_enable,TRUE,Enable fastSCOOTER screener (runs first — reads basic_calc only)
# --- Breadth universe (must match downloaded data scope) ---,,
MARKET_BREADTH_universe,SP500;NASDAQ100,Universe for breadth analysis (all SP500 NASDAQ100 exchange_NYSE)
,,
,,
# ================================================================,,
# SECTION 1 — ENVIRONMENT & PATHS,,
# ================================================================,,
auto_detect_environment,FALSE,Automatically detect local vs Colab environment
manual_environment_override,colab,Manual override: local | colab | (empty for auto)
,,
# Local paths,,
YF_daily_data_files_local,../downloadData_v1/data/market_data/daily/,Local: daily (1d) OHLCV files
