date,timeframe,daily_mb_total_stocks,daily_mb_advancing_stocks,daily_mb_declining_stocks,daily_mb_unchanged_stocks,daily_mb_net_advances,daily_mb_ad_ratio,daily_mb_ad_line,daily_mb_advance_pct,daily_mb_decline_pct,daily_mb_avg_pct_change,daily_mb_pct_change_volatility,daily_mb_252day_new_highs,daily_mb_252day_new_lows,daily_mb_total_stocks_hl_252day,daily_mb_net_252day_new_highs,daily_mb_hl_ratio_252day,daily_mb_252day_new_highs_pct,daily_mb_252day_new_lows_pct,daily_mb_net_hl_line_252day,daily_mb_20day_new_highs,daily_mb_20day_new_lows,daily_mb_total_stocks_hl_20day,daily_mb_net_20day_new_highs,daily_mb_hl_ratio_20day,daily_mb_20day_new_highs_pct,daily_mb_20day_new_lows_pct,daily_mb_net_hl_line_20day,daily_mb_63day_new_highs,daily_mb_63day_new_lows,daily_mb_total_stocks_hl_63day,daily_mb_net_63day_new_highs,daily_mb_hl_ratio_63day,daily_mb_63day_new_highs_pct,daily_mb_63day_new_lows_pct,daily_mb_net_hl_line_63day,daily_mb_stocks_above_ma_20,daily_mb_total_stocks_ma_20,daily_mb_pct_above_ma_20,daily_mb_stocks_above_ma_50,daily_mb_total_stocks_ma_50,daily_mb_pct_above_ma_50,daily_mb_stocks_above_ma_200,daily_mb_total_stocks_ma_200,daily_mb_pct_above_ma_200,daily_mb_daily_252day_new_highs_gt_100,daily_mb_10day_successful_252day_new_highs_gt_100,daily_mb_daily_20day_new_highs_gt_100,daily_mb_20day_successful_20day_new_highs_gt_100,daily_mb_daily_63day_new_highs_gt_100,daily_mb_63day_successful_63day_new_highs_gt_100,daily_mb_ad_ratio_gt_2_0,daily_mb_ad_ratio_lt_0_5,daily_mb_strong_advance_breadth,daily_mb_weak_advance_breadth,daily_mb_strong_ma_breadth_20,daily_mb_weak_ma_breadth_20,daily_mb_strong_ma_breadth_50,daily_mb_weak_ma_breadth_50,daily_mb_strong_ma_breadth_200,daily_mb_weak_ma_breadth_200,daily_mb_universe,daily_mb_lookback_days
2024-01-02,daily,23,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,NASDAQ100,252
2024-01-03,daily,23,7,16,0,-9,0.44,-9,30.43,69.57,-0.87,1.50,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-04,daily,23,10,13,0,-3,0.77,-12,43.48,56.52,-0.28,1.00,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-05,daily,23,10,13,0,-3,0.77,-15,43.48,56.52,0.12,0.91,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-08,daily,23,23,0,0,23,,8,100.00,0.00,2.22,1.54,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-09,daily,23,11,12,0,-1,0.92,7,47.83,52.17,0.13,1.22,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-10,daily,23,15,8,0,7,1.88,14,65.22,34.78,1.15,2.38,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-11,daily,23,11,12,0,-1,0.92,13,47.83,52.17,0.19,1.17,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-12,daily,23,14,9,0,5,1.56,18,60.87,39.13,0.02,1.13,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,0,23,0,,0.00,0.00,0,0,23,0.00,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NASDAQ100,252
2024-01-16,daily,23,8,15,0,-7,0.53,11,34.78,65.22,-0.31,2.39,0,0,23,0,,0.00,0.00,0,5,3,23,2,1.67,21.74,13.04,2,0,0,23,0,,0.00,0.00,0,16,23,69.57,0,23,0.00,0,23,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NASDAQ100,252
