date,timeframe,weekly_mb_total_stocks,weekly_mb_advancing_stocks,weekly_mb_declining_stocks,weekly_mb_unchanged_stocks,weekly_mb_net_advances,weekly_mb_ad_ratio,weekly_mb_ad_line,weekly_mb_advance_pct,weekly_mb_decline_pct,weekly_mb_avg_pct_change,weekly_mb_pct_change_volatility,weekly_mb_252day_new_highs,weekly_mb_252day_new_lows,weekly_mb_total_stocks_hl_252day,weekly_mb_net_252day_new_highs,weekly_mb_hl_ratio_252day,weekly_mb_252day_new_highs_pct,weekly_mb_252day_new_lows_pct,weekly_mb_net_hl_line_252day,weekly_mb_20day_new_highs,weekly_mb_20day_new_lows,weekly_mb_total_stocks_hl_20day,weekly_mb_net_20day_new_highs,weekly_mb_hl_ratio_20day,weekly_mb_20day_new_highs_pct,weekly_mb_20day_new_lows_pct,weekly_mb_net_hl_line_20day,weekly_mb_63day_new_highs,weekly_mb_63day_new_lows,weekly_mb_total_stocks_hl_63day,weekly_mb_net_63day_new_highs,weekly_mb_hl_ratio_63day,weekly_mb_63day_new_highs_pct,weekly_mb_63day_new_lows_pct,weekly_mb_net_hl_line_63day,weekly_mb_stocks_above_ma_20,weekly_mb_total_stocks_ma_20,weekly_mb_pct_above_ma_20,weekly_mb_stocks_above_ma_50,weekly_mb_total_stocks_ma_50,weekly_mb_pct_above_ma_50,weekly_mb_stocks_above_ma_200,weekly_mb_total_stocks_ma_200,weekly_mb_pct_above_ma_200,weekly_mb_daily_252day_new_highs_gt_100,weekly_mb_10day_successful_252day_new_highs_gt_100,weekly_mb_daily_20day_new_highs_gt_100,weekly_mb_20day_successful_20day_new_highs_gt_100,weekly_mb_daily_63day_new_highs_gt_100,weekly_mb_63day_successful_63day_new_highs_gt_100,weekly_mb_ad_ratio_gt_2_0,weekly_mb_ad_ratio_lt_0_5,weekly_mb_strong_advance_breadth,weekly_mb_weak_advance_breadth,weekly_mb_strong_ma_breadth_20,weekly_mb_weak_ma_breadth_20,weekly_mb_strong_ma_breadth_50,weekly_mb_weak_ma_breadth_50,weekly_mb_strong_ma_breadth_200,weekly_mb_weak_ma_breadth_200,weekly_mb_universe,weekly_mb_lookback_days
2024-01-02,weekly,46,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,SP500,252
2024-01-03,weekly,46,18,28,0,-10,0.64,-10,39.13,60.87,-0.50,1.49,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-04,weekly,46,24,22,0,2,1.09,-8,52.17,47.83,-0.13,0.85,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-05,weekly,46,25,21,0,4,1.19,-4,54.35,45.65,0.22,0.85,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-08,weekly,46,39,7,0,32,5.57,28,84.78,15.22,1.45,1.70,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,SP500,252
2024-01-09,weekly,46,22,24,0,-2,0.92,26,47.83,52.17,-0.13,1.09,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-10,weekly,46,32,14,0,18,2.29,44,69.57,30.43,0.81,1.80,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-11,weekly,46,20,26,0,-6,0.77,38,43.48,56.52,-0.08,0.96,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,SP500,252
2024-01-12,weekly,46,33,13,0,20,2.54,58,71.74,28.26,0.23,1.09,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,0,46,0,,0.00,0.00,0,0,46,0.00,0,46,0.00,0,46,0.00,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,SP500,252
2024-01-16,weekly,46,13,33,0,-20,0.39,38,28.26,71.74,-0.37,1.68,0,0,46,0,,0.00,0.00,0,9,9,46,0,1.00,19.57,19.57,0,0,0,46,0,,0.00,0.00,0,30,46,65.22,0,46,0.00,0,46,0.00,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,SP500,252
