ticker,timeframe,strategy,signal_type,signal_date,current_price,signal_price,score,screen_type,price,volume,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
GOOGL,monthly,,,2025-09-01,0.0000,0.0000,81.9900,drwish,235.0500,46588925,210.5200,235.7600,11.9900,3,True,15,2025-09-16,DrWish GLB
GOOG,monthly,,,2025-09-01,0.0000,0.0000,81.8600,drwish,235.1700,26127737,211.0900,236.1300,11.8600,3,True,15,2025-09-16,DrWish GLB
AZN,monthly,,,2025-08-18,0.0000,0.0000,76.4700,drwish,81.7000,2464583,76.2000,81.1300,6.4700,3,True,29,2025-09-16,DrWish GLB
IWM,monthly,,,2025-09-01,0.0000,0.0000,73.5500,drwish,237.7700,190629711,231.4600,239.6800,3.5500,3,True,15,2025-09-16,DrWish GLB
BRK-B,monthly,,,2025-09-01,0.0000,0.0000,73.1400,drwish,499.7700,4216984,492.2200,507.6600,3.1400,3,True,15,2025-09-16,DrWish GLB
BRK-B,monthly,,,2025-08-29,0.0000,0.0000,72.9500,drwish,499.7700,4216984,492.2200,506.7200,2.9500,2,True,18,2025-09-16,DrWish GLB
XLC,monthly,,,2025-09-01,0.0000,0.0000,72.5500,drwish,114.6900,32618537,112.2200,115.0800,2.5500,3,True,15,2025-09-16,DrWish GLB
IWM,monthly,,,2025-08-29,0.0000,0.0000,72.4000,drwish,237.7700,190629711,231.4600,237.0200,2.4000,2,True,18,2025-09-16,DrWish GLB
XLY,monthly,,,2025-08-18,0.0000,0.0000,72.0800,drwish,235.1100,57585512,227.3400,232.0600,2.0800,3,True,29,2025-09-16,DrWish GLB
XLF,monthly,,,2025-09-01,0.0000,0.0000,72.0500,drwish,53.0700,224589343,53.1600,54.2500,2.0500,3,True,15,2025-09-16,DrWish GLB
GOOG,monthly,,,2025-08-29,0.0000,0.0000,72.0100,drwish,235.1700,26127737,211.0900,215.3400,2.0100,2,True,18,2025-09-16,DrWish GLB
GOOGL,monthly,,,2025-08-25,0.0000,0.0000,71.9800,drwish,235.0500,46588925,206.4400,210.5200,1.9800,2,True,22,2025-09-16,DrWish GLB
GOOGL,monthly,,,2025-08-29,0.0000,0.0000,71.9600,drwish,235.0500,46588925,210.5200,214.6500,1.9600,2,True,18,2025-09-16,DrWish GLB
XLB,monthly,,,2025-08-29,0.0000,0.0000,71.8600,drwish,91.9600,32911462,91.0200,92.7100,1.8600,2,True,18,2025-09-16,DrWish GLB
TSLA,monthly,,,2025-08-27,0.0000,0.0000,71.8400,drwish,350.8400,108989785,348.9800,355.3900,1.8400,3,True,20,2025-09-16,DrWish GLB
XLF,monthly,,,2025-08-29,0.0000,0.0000,71.8400,drwish,53.0700,224589343,53.1600,54.1400,1.8400,2,True,18,2025-09-16,DrWish GLB
GOOG,monthly,,,2025-08-25,0.0000,0.0000,71.8100,drwish,235.1700,26127737,207.3300,211.0900,1.8100,2,True,22,2025-09-16,DrWish GLB
ASML,monthly,,,2025-08-27,0.0000,0.0000,71.7900,drwish,781.7000,1863915,757.0000,770.5500,1.7900,3,True,20,2025-09-16,DrWish GLB
ASML,monthly,,,2025-09-01,0.0000,0.0000,71.6300,drwish,781.7000,1863915,770.5500,783.1000,1.6300,2,True,15,2025-09-16,DrWish GLB
MAGS,monthly,,,2025-09-01,0.0000,0.0000,71.2300,drwish,61.2100,14266294,60.9600,61.7100,1.2300,3,True,15,2025-09-16,DrWish GLB
