ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
AFRM,drwish_glb,87.35,9263900,100.0,2025-08-29,18,2025-09-16,DrWish GLB,73.11,100.0,36.78,38,True
AFRM,drwish_glb,87.35,9263900,97.48,2025-09-05,11,2025-09-16,DrWish GLB,73.11,93.2,27.48,42,True
AFRM,drwish_glb,87.35,9263900,94.94,2025-09-04,12,2025-09-16,DrWish GLB,73.11,91.34,24.94,41,True
GOOGL,drwish_glb,235.0,46566300,89.1,2025-09-05,11,2025-09-16,DrWish GLB,197.95,235.76,19.1,30,True
GOOG,drwish_glb,235.17,26106200,88.68,2025-09-05,11,2025-09-16,DrWish GLB,198.97,236.13,18.68,30,True
AFRM,drwish_glb,87.35,9263900,87.93,2025-09-02,14,2025-09-16,DrWish GLB,73.11,86.22,17.93,39,True
GOOGL,drwish_glb,235.0,46566300,87.39,2025-09-04,12,2025-09-16,DrWish GLB,197.95,232.37,17.39,29,True
GOOG,drwish_glb,235.17,26106200,86.99,2025-09-04,12,2025-09-16,DrWish GLB,198.97,232.77,16.99,29,True
AFRM,drwish_glb,87.35,9263900,86.91,2025-09-03,13,2025-09-16,DrWish GLB,73.11,85.47,16.91,40,True
GOOGL,drwish_glb,235.0,46566300,86.85,2025-09-03,13,2025-09-16,DrWish GLB,197.95,231.31,16.85,28,True
GOOG,drwish_glb,235.17,26106200,86.5,2025-09-03,13,2025-09-16,DrWish GLB,198.97,231.8,16.5,28,True
JNJ,drwish_glb,178.43,9733300,84.9,2025-08-22,25,2025-09-16,DrWish GLB,156.52,179.84,14.9,48,True
JNJ,drwish_glb,178.43,9733300,84.69,2025-09-05,11,2025-09-16,DrWish GLB,156.52,179.51,14.69,57,True
JNJ,drwish_glb,178.43,9733300,84.55,2025-08-20,27,2025-09-16,DrWish GLB,156.52,179.29,14.55,46,True
JNJ,drwish_glb,178.43,9733300,84.49,2025-09-02,14,2025-09-16,DrWish GLB,156.52,179.2,14.49,54,True
JNJ,drwish_glb,178.43,9733300,84.33,2025-08-25,22,2025-09-16,DrWish GLB,156.52,178.95,14.33,49,True
JNJ,drwish_glb,178.43,9733300,84.3,2025-09-04,12,2025-09-16,DrWish GLB,156.52,178.9,14.3,56,True
JNJ,drwish_glb,178.43,9733300,84.21,2025-08-21,26,2025-09-16,DrWish GLB,156.52,178.77,14.21,47,True
JNJ,drwish_glb,178.43,9733300,83.91,2025-09-03,13,2025-09-16,DrWish GLB,156.52,178.29,13.91,55,True
JNJ,drwish_glb,178.43,9733300,83.52,2025-08-27,20,2025-09-16,DrWish GLB,156.52,177.69,13.52,51,True
