ticker,timeframe,parameter_set,strategy,signal_type,signal_date,current_price,signal_price,score,lookback_period,historical_glb_period,confirmation_period,screen_type,price,volume,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
AVGO,daily,set2,,,2025-09-05,0.0000,0.0000,82.2900,6w,1y,2w,drwish_glb,334.8900,78335000,317.3500,356.3400,12.2900,16,True,24,2025-09-29,DrWish GLB
GOOGL,daily,set2,,,2025-09-02,0.0000,0.0000,76.9400,6w,1y,2w,drwish_glb,235.0000,46566300,197.9500,211.6800,6.9400,27,True,27,2025-09-29,DrWish GLB
GOOG,daily,set2,,,2025-09-02,0.0000,0.0000,76.7300,6w,1y,2w,drwish_glb,235.1700,26106200,198.9700,212.3700,6.7300,27,True,27,2025-09-29,DrWish GLB
PEP,daily,set2,,,2025-09-02,0.0000,0.0000,76.2900,6w,1y,2w,drwish_glb,146.3900,7185800,147.0300,156.2700,6.2900,28,True,27,2025-09-29,DrWish GLB
APP,daily,set2,,,2025-09-03,0.0000,0.0000,75.5200,6w,1y,2w,drwish_glb,490.2400,8139600,473.7000,499.8700,5.5200,16,True,26,2025-09-29,DrWish GLB
BIIB,daily,set2,,,2025-09-02,0.0000,0.0000,73.4200,6w,1y,2w,drwish_glb,140.6700,1561800,135.4300,140.0600,3.4200,22,True,27,2025-09-29,DrWish GLB
IWM,daily,set2,,,2025-09-02,0.0000,0.0000,73.3900,6w,1y,2w,drwish_glb,237.7700,47531600,226.7100,234.4000,3.3900,28,True,27,2025-09-29,DrWish GLB
ADSK,daily,set2,,,2025-09-04,0.0000,0.0000,73.2900,6w,1y,2w,drwish_glb,326.3700,1632200,309.8100,320.0000,3.2900,25,True,25,2025-09-29,DrWish GLB
TTWO,daily,set2,,,2025-09-04,0.0000,0.0000,70.7100,6w,1y,2w,drwish_glb,239.6800,979400,239.1400,240.8400,0.7100,18,True,25,2025-09-29,DrWish GLB
MAGS,daily,set2,,,2025-09-04,0.0000,0.0000,70.6600,6w,1y,2w,drwish_glb,61.2100,3593600,60.9600,61.3600,0.6600,15,True,25,2025-09-29,DrWish GLB
XLE,daily,set2,,,2025-09-04,0.0000,0.0000,70.5300,6w,1y,2w,drwish_glb,87.3600,24090400,88.9800,89.4500,0.5300,26,True,25,2025-09-29,DrWish GLB
XLF,daily,set2,,,2025-09-03,0.0000,0.0000,70.2100,6w,1y,2w,drwish_glb,53.0700,58361200,53.4900,53.6000,0.2100,27,True,26,2025-09-29,DrWish GLB
