ticker,timeframe,strategy,signal_type,signal_date,current_price,signal_price,score,screen_type,price,volume,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
AFRM,daily,,,2025-08-29,0.0000,0.0000,100.0000,drwish,87.3500,9263900,73.1100,100.0000,36.7800,38,True,18,2025-09-16,DrWish GLB
AFRM,daily,,,2025-09-05,0.0000,0.0000,97.4800,drwish,87.3500,9263900,73.1100,93.2000,27.4800,42,True,11,2025-09-16,DrWish GLB
AFRM,daily,,,2025-09-04,0.0000,0.0000,94.9400,drwish,87.3500,9263900,73.1100,91.3400,24.9400,41,True,12,2025-09-16,DrWish GLB
GOOGL,daily,,,2025-09-05,0.0000,0.0000,89.1000,drwish,235.0000,46566300,197.9500,235.7600,19.1000,30,True,11,2025-09-16,DrWish GLB
GOOG,daily,,,2025-09-05,0.0000,0.0000,88.6800,drwish,235.1700,26106200,198.9700,236.1300,18.6800,30,True,11,2025-09-16,DrWish GLB
AFRM,daily,,,2025-09-02,0.0000,0.0000,87.9300,drwish,87.3500,9263900,73.1100,86.2200,17.9300,39,True,14,2025-09-16,DrWish GLB
GOOGL,daily,,,2025-09-04,0.0000,0.0000,87.3900,drwish,235.0000,46566300,197.9500,232.3700,17.3900,29,True,12,2025-09-16,DrWish GLB
GOOG,daily,,,2025-09-04,0.0000,0.0000,86.9900,drwish,235.1700,26106200,198.9700,232.7700,16.9900,29,True,12,2025-09-16,DrWish GLB
AFRM,daily,,,2025-09-03,0.0000,0.0000,86.9100,drwish,87.3500,9263900,73.1100,85.4700,16.9100,40,True,13,2025-09-16,DrWish GLB
GOOGL,daily,,,2025-09-03,0.0000,0.0000,86.8500,drwish,235.0000,46566300,197.9500,231.3100,16.8500,28,True,13,2025-09-16,DrWish GLB
GOOG,daily,,,2025-09-03,0.0000,0.0000,86.5000,drwish,235.1700,26106200,198.9700,231.8000,16.5000,28,True,13,2025-09-16,DrWish GLB
JNJ,daily,,,2025-08-22,0.0000,0.0000,84.9000,drwish,178.4300,9733300,156.5200,179.8400,14.9000,48,True,25,2025-09-16,DrWish GLB
JNJ,daily,,,2025-09-05,0.0000,0.0000,84.6900,drwish,178.4300,9733300,156.5200,179.5100,14.6900,57,True,11,2025-09-16,DrWish GLB
JNJ,daily,,,2025-08-20,0.0000,0.0000,84.5500,drwish,178.4300,9733300,156.5200,179.2900,14.5500,46,True,27,2025-09-16,DrWish GLB
JNJ,daily,,,2025-09-02,0.0000,0.0000,84.4900,drwish,178.4300,9733300,156.5200,179.2000,14.4900,54,True,14,2025-09-16,DrWish GLB
JNJ,daily,,,2025-08-25,0.0000,0.0000,84.3300,drwish,178.4300,9733300,156.5200,178.9500,14.3300,49,True,22,2025-09-16,DrWish GLB
JNJ,daily,,,2025-09-04,0.0000,0.0000,84.3000,drwish,178.4300,9733300,156.5200,178.9000,14.3000,56,True,12,2025-09-16,DrWish GLB
JNJ,daily,,,2025-08-21,0.0000,0.0000,84.2100,drwish,178.4300,9733300,156.5200,178.7700,14.2100,47,True,26,2025-09-16,DrWish GLB
JNJ,daily,,,2025-09-03,0.0000,0.0000,83.9100,drwish,178.4300,9733300,156.5200,178.2900,13.9100,55,True,13,2025-09-16,DrWish GLB
JNJ,daily,,,2025-08-27,0.0000,0.0000,83.5200,drwish,178.4300,9733300,156.5200,177.6900,13.5200,51,True,20,2025-09-16,DrWish GLB
