ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
GOOGL,drwish_glb,235.0,249109600,100.0,2025-09-01,15,2025-09-16,DrWish GLB,180.89,235.76,30.33,12,True
AFRM,drwish_glb,87.35,46479800,100.0,2025-08-25,22,2025-09-16,DrWish GLB,73.11,100.0,36.78,7,True
GOOG,drwish_glb,235.17,159452600,99.58,2025-09-01,15,2025-09-16,DrWish GLB,182.23,236.13,29.58,12,True
AFRM,drwish_glb,87.35,46479800,97.48,2025-09-01,15,2025-09-16,DrWish GLB,73.11,93.2,27.48,8,True
GOOGL,drwish_glb,235.0,249109600,88.66,2025-08-25,22,2025-09-16,DrWish GLB,180.89,214.65,18.66,11,True
GOOG,drwish_glb,235.17,159452600,88.17,2025-08-25,22,2025-09-16,DrWish GLB,182.23,215.34,18.17,11,True
GOOGL,drwish_glb,235.0,249109600,85.28,2025-08-18,29,2025-09-16,DrWish GLB,180.89,208.54,15.28,10,True
GOOG,drwish_glb,235.17,159452600,84.82,2025-08-18,29,2025-09-16,DrWish GLB,182.23,209.23,14.82,10,True
AVGO,drwish_glb,334.89,147778200,82.29,2025-09-01,15,2025-09-16,DrWish GLB,317.35,356.34,12.29,3,True
HPQ,drwish_glb,29.34,41768600,82.11,2025-09-01,15,2025-09-16,DrWish GLB,26.27,29.45,12.11,9,True
AZN,drwish_glb,81.7,12777800,80.09,2025-09-01,15,2025-09-16,DrWish GLB,74.86,82.41,10.09,12,True
HPQ,drwish_glb,29.34,41768600,80.09,2025-08-23,24,2025-09-16,DrWish GLB,26.27,28.92,10.09,7,True
HPQ,drwish_glb,29.34,41768600,80.09,2025-08-25,22,2025-09-16,DrWish GLB,26.27,28.92,10.09,8,True
AFRM,drwish_glb,87.35,46479800,79.98,2025-08-18,29,2025-09-16,DrWish GLB,73.11,80.41,9.98,6,True
PDD,drwish_glb,124.68,32280200,79.23,2025-08-25,22,2025-09-16,DrWish GLB,121.49,132.7,9.23,5,True
AZN,drwish_glb,81.7,12777800,78.95,2025-08-18,29,2025-09-16,DrWish GLB,74.86,81.56,8.95,10,True
ABBV,drwish_glb,212.56,16306000,78.5,2025-08-19,28,2025-09-16,DrWish GLB,195.81,212.45,8.5,6,True
AZN,drwish_glb,81.7,12777800,77.63,2025-08-25,22,2025-09-16,DrWish GLB,74.86,80.57,7.63,11,True
PDD,drwish_glb,124.68,32280200,76.18,2025-08-18,29,2025-09-16,DrWish GLB,121.49,129.0,6.18,4,True
IWM,drwish_glb,237.77,144216400,75.72,2025-09-01,15,2025-09-16,DrWish GLB,226.71,239.68,5.72,6,True
