ticker,screen_type,score,price,volume,signal_date,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
AFRM,drwish_glb,100.0,87.35,9263900,2025-08-29,73.11,100.0,36.78,38,True,18,2025-09-16,DrWish GLB
AFRM,drwish_glb,97.48,87.35,9263900,2025-09-05,73.11,93.2,27.48,42,True,11,2025-09-16,DrWish GLB
AFRM,drwish_glb,94.94,87.35,9263900,2025-09-04,73.11,91.34,24.94,41,True,12,2025-09-16,DrWish GLB
GOOGL,drwish_glb,89.1,235.0,46566300,2025-09-05,197.95,235.76,19.1,30,True,11,2025-09-16,DrWish GLB
GOOG,drwish_glb,88.68,235.17,26106200,2025-09-05,198.97,236.13,18.68,30,True,11,2025-09-16,DrWish GLB
AFRM,drwish_glb,87.93,87.35,9263900,2025-09-02,73.11,86.22,17.93,39,True,14,2025-09-16,DrWish GLB
GOOGL,drwish_glb,87.39,235.0,46566300,2025-09-04,197.95,232.37,17.39,29,True,12,2025-09-16,DrWish GLB
GOOG,drwish_glb,86.99,235.17,26106200,2025-09-04,198.97,232.77,16.99,29,True,12,2025-09-16,DrWish GLB
AFRM,drwish_glb,86.91,87.35,9263900,2025-09-03,73.11,85.47,16.91,40,True,13,2025-09-16,DrWish GLB
GOOGL,drwish_glb,86.85,235.0,46566300,2025-09-03,197.95,231.31,16.85,28,True,13,2025-09-16,DrWish GLB
GOOG,drwish_glb,86.5,235.17,26106200,2025-09-03,198.97,231.8,16.5,28,True,13,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.9,178.43,9733300,2025-08-22,156.52,179.84,14.9,48,True,25,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.69,178.43,9733300,2025-09-05,156.52,179.51,14.69,57,True,11,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.55,178.43,9733300,2025-08-20,156.52,179.29,14.55,46,True,27,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.49,178.43,9733300,2025-09-02,156.52,179.2,14.49,54,True,14,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.33,178.43,9733300,2025-08-25,156.52,178.95,14.33,49,True,22,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.3,178.43,9733300,2025-09-04,156.52,178.9,14.3,56,True,12,2025-09-16,DrWish GLB
JNJ,drwish_glb,84.21,178.43,9733300,2025-08-21,156.52,178.77,14.21,47,True,26,2025-09-16,DrWish GLB
JNJ,drwish_glb,83.91,178.43,9733300,2025-09-03,156.52,178.29,13.91,55,True,13,2025-09-16,DrWish GLB
JNJ,drwish_glb,83.52,178.43,9733300,2025-08-27,156.52,177.69,13.52,51,True,20,2025-09-16,DrWish GLB
