ticker,screen_type,signal_type,signal_date,price,volume,zscore_spread,spread_score,cluster_avg,price_distance_pct,ma_periods,ma_type,strength,timeframe
AN,gold_launch_pad,Gold Launch Pad,2025-09-05,226.82,437400,0.3392609849920558,0.6607390150079442,214.13380222993177,5.924429007553338,"[10, 20, 50]",EMA,Moderate,daily
MTB,gold_launch_pad,Gold Launch Pad,2025-09-05,199.57,977400,0.1395802097089236,0.8604197902910764,196.42112600579216,1.6031276179191305,"[10, 20, 50]",EMA,Strong,daily
THG,gold_launch_pad,Gold Launch Pad,2025-09-05,177.62,194100,0.36138897353826094,0.6386110264617391,173.64619349909677,2.288447295051937,"[10, 20, 50]",EMA,Moderate,daily
GD,gold_launch_pad,Gold Launch Pad,2025-09-05,322.86,860900,0.24027052568942087,0.7597294743105791,316.9436183519551,1.8666938398606578,"[10, 20, 50]",EMA,Strong,daily
PNC,gold_launch_pad,Gold Launch Pad,2025-09-05,204.4,1273000,0.2642359792369555,0.7357640207630445,199.2168855168868,2.6017414970370307,"[10, 20, 50]",EMA,Strong,daily
POWL,gold_launch_pad,Gold Launch Pad,2025-09-05,268.24,136700,0.2506895546452248,0.7493104453547752,254.47242154970186,5.410239978395516,"[10, 20, 50]",EMA,Strong,daily
PAG,gold_launch_pad,Gold Launch Pad,2025-09-05,187.63,160300,0.2910620011873619,0.7089379988126381,181.88319687928552,3.159614577998149,"[10, 20, 50]",EMA,Strong,daily
AXP,gold_launch_pad,Gold Launch Pad,2025-09-05,326.22,2971300,0.17887116153388227,0.8211288384661177,317.4122415689489,2.7748645131700083,"[10, 20, 50]",EMA,Strong,daily
HII,gold_launch_pad,Gold Launch Pad,2025-09-05,271.13,362700,0.33187068033942757,0.6681293196605724,265.8119671296829,2.000676572449075,"[10, 20, 50]",EMA,Moderate,daily
AMG,gold_launch_pad,Gold Launch Pad,2025-09-05,230.28,119600,0.058603901878484965,0.941396098121515,221.33897429882086,4.039516541901517,"[10, 20, 50]",EMA,Strong,daily
RCL,gold_launch_pad,Gold Launch Pad,2025-09-05,352.27,1455500,0.11041372738956579,0.8895862726104342,339.9895949362419,3.6119911492388295,"[10, 20, 50]",EMA,Strong,daily
HUM,gold_launch_pad,Gold Launch Pad,2025-09-05,307.92,1504600,0.5066711965506552,0.4933288034493448,288.6016518620447,6.693780663086462,"[10, 20, 50]",EMA,Moderate,daily
AYI,gold_launch_pad,Gold Launch Pad,2025-09-05,338.33,148200,0.16528171519246704,0.834718284807533,322.5418442610771,4.894912890250933,"[10, 20, 50]",EMA,Strong,daily
RL,gold_launch_pad,Gold Launch Pad,2025-09-05,312.02,628700,0.3008554822552316,0.6991445177447684,298.2044181994836,4.6329195582026435,"[10, 20, 50]",EMA,Moderate,daily
IESC,gold_launch_pad,Gold Launch Pad,2025-09-05,349.64,129700,0.27393275111942983,0.7260672488805702,340.0031593473305,2.8343428689327173,"[10, 20, 50]",EMA,Strong,daily
UI,gold_launch_pad,Gold Launch Pad,2025-09-05,577.05,138200,0.5185844245618334,0.4814155754381666,495.34862495803986,16.493709423711366,"[10, 20, 50]",EMA,Moderate,daily
R,gold_launch_pad,Gold Launch Pad,2025-09-05,187.22,240300,0.1293657233804304,0.8706342766195696,181.74823440628222,3.0106299696916166,"[10, 20, 50]",EMA,Strong,daily
FSLR,gold_launch_pad,Gold Launch Pad,2025-09-05,205.14,3065900,0.31036494070578335,0.6896350592942166,193.36497194819808,6.089534894978217,"[10, 20, 50]",EMA,Moderate,daily
MCD,gold_launch_pad,Gold Launch Pad,2025-09-05,314.38,2533100,0.6292963355322196,0.37070366446778036,310.7364865556336,1.172542808720532,"[10, 20, 50]",EMA,Moderate,daily
XNET,gold_launch_pad,Gold Launch Pad,2025-09-05,7.65,832700,0.5762053212147142,0.42379467878528576,6.59638177066073,15.972670493284161,"[10, 20, 50]",EMA,Moderate,daily
ITW,gold_launch_pad,Gold Launch Pad,2025-09-05,266.24,583100,0.28901032809807536,0.7109896719019246,262.04754520320057,1.5998795287028793,"[10, 20, 50]",EMA,Strong,daily
