ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_10w_rs_vs_SPY_per_ticker_choice,weekly_weekly_weekly_15w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_15w_rs_vs_SPY_per_ticker_choice,weekly_weekly_weekly_1w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_1w_rs_vs_SPY_per_ticker_choice,weekly_weekly_weekly_3w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_3w_rs_vs_SPY_per_ticker_choice,weekly_weekly_weekly_5w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_5w_rs_vs_SPY_per_ticker_choice,weekly_weekly_weekly_10w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_10w_rs_vs_SPY_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_SPY_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_SPY_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_SPY_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_SPY_per_NASDAQ100,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_10w_rs_vs_SPY_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_SPY_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_SPY_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_SPY_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_SPY_per_SP500
Finance/Rental/Leasing,2025-09-01,weekly,50,50,34,34,34,34,66,66,50,50,,,,,,,,,,,50,50,34,34,34,34,66,66,50,50
Internet software/Services,2025-09-01,weekly,66,66,66,66,99,99,83,83,83,83,50,50,50,50,99,99,74,74,74,74,66,66,66,66,99,99,83,83,83,83
Major banks,2025-09-01,weekly,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17
Packaged software,2025-09-01,weekly,34,34,50,50,50,50,34,34,34,34,26,26,26,26,26,26,26,26,26,26,34,34,50,50,50,50,34,34,34,34
Pharmaceuticals: major,2025-09-01,weekly,99,99,99,99,66,66,99,99,99,99,99,99,99,99,50,50,99,99,99,99,99,99,99,99,66,66,99,99,99,99
Semiconductors,2025-09-01,weekly,83,83,83,83,83,83,50,50,66,66,74,74,74,74,74,74,50,50,50,50,83,83,83,83,83,83,50,50,66,66
