ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_all,weekly_weekly_weekly_15w_rs_vs_QQQ_per_all,weekly_weekly_weekly_1w_rs_vs_QQQ_per_all,weekly_weekly_weekly_3w_rs_vs_QQQ_per_all,weekly_weekly_weekly_5w_rs_vs_QQQ_per_all,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500
Electronic technology,2025-09-01,weekly,99,99,99,99,99,99,99,99,99,99
Health technology,2025-09-01,weekly,26,26,26,26,26,26,26,26,26,26
Retail trade,2025-09-01,weekly,50,50,50,74,74,50,50,50,74,74
Technology services,2025-09-01,weekly,74,74,74,50,50,74,74,74,50,50
