ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_15w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_1w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_3w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_5w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_10w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500
Internet software/Services,2025-09-01,weekly,66,66,99,99,99,66,66,99,99,99,66,66,99,99,99
Packaged software,2025-09-01,weekly,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Semiconductors,2025-09-01,weekly,99,99,66,66,66,99,99,66,66,66,99,99,66,66,66
