Date,Consumer non-durables,Consumer services,Electronic technology,Health technology,Producer manufacturing,Retail trade,Technology services,Transportation,Utilities
2024-04-30 00:00:00-04:00,118.8960,977.5292,149.5185,258.1593,135.4541,282.1960,287.3801,108.2713,109.0393
2024-05-01 00:00:00-04:00,117.8617,966.2517,145.8819,259.5114,132.4914,284.8850,290.4996,107.4310,109.0342
2024-05-02 00:00:00-04:00,117.7835,981.5226,149.0415,262.7379,134.7644,292.8246,293.6144,100.6713,109.7104
2024-05-03 00:00:00-04:00,118.4185,1008.7130,154.9987,269.9924,138.0629,300.1021,298.9760,100.7565,113.2298
2024-05-06 00:00:00-04:00,117.8383,1015.1733,157.2285,268.6659,140.7416,304.2943,304.2703,101.9333,114.4476
2024-05-07 00:00:00-04:00,119.0951,1016.5928,156.3890,271.6653,139.9434,307.4081,304.9673,101.6794,115.9989
2024-05-08 00:00:00-04:00,118.5211,1030.7277,156.8354,271.4645,139.9646,306.9802,305.0554,99.9014,119.0848
2024-05-09 00:00:00-04:00,119.3316,1060.3637,156.4342,274.8437,139.6032,309.1465,306.2967,101.9019,122.6543
2024-05-10 00:00:00-04:00,120.2725,1068.1315,157.5052,275.8836,141.3679,308.5772,306.6959,101.4607,122.4074
2024-05-13 00:00:00-04:00,120.4845,1052.3208,158.5338,275.4119,139.2422,306.0127,305.6887,101.9049,121.9959
2024-05-14 00:00:00-04:00,120.3560,1059.1208,160.1137,277.6268,141.1661,306.8427,307.4227,100.7397,123.4744
2024-05-15 00:00:00-04:00,119.7515,1063.7711,164.0126,283.3966,145.7637,308.6108,312.6424,101.8871,126.0553
2024-05-16 00:00:00-04:00,120.8620,1049.8330,163.1154,281.9602,143.7962,308.4983,311.2529,101.5667,123.4133
2024-05-17 00:00:00-04:00,120.1398,1042.7993,162.2482,283.4375,141.7377,310.1143,312.2405,102.2679,122.1001
2024-05-20 00:00:00-04:00,118.6836,1058.7822,164.6093,283.7115,146.1159,310.3215,314.8307,99.7201,122.9299
2024-05-21 00:00:00-04:00,118.8506,1072.1860,164.6004,283.8921,146.9855,310.3935,315.7524,98.4425,126.0428
2024-05-22 00:00:00-04:00,117.9106,1072.7066,164.2531,282.6489,146.9797,309.2558,315.7026,97.6068,124.4825
2024-05-23 00:00:00-04:00,116.4213,1052.9366,166.3164,281.1264,146.6696,306.2818,312.9940,96.6444,123.9908
2024-05-24 00:00:00-04:00,116.0308,1064.5283,169.5444,283.0921,148.4828,307.5995,315.7954,98.2709,127.5626
2024-05-28 00:00:00-04:00,113.3714,1062.6696,173.8344,278.6232,148.4516,309.0402,316.3513,98.0139,127.7539
2024-05-29 00:00:00-04:00,112.5052,1047.3635,172.4740,276.0074,146.3414,308.2791,315.0161,97.2437,123.2639
2024-05-30 00:00:00-04:00,112.5879,1053.3626,170.9693,278.0909,145.2836,307.1038,306.8122,96.9027,125.3669
2024-05-31 00:00:00-04:00,114.4289,1060.3645,170.2411,280.7016,144.2111,305.1457,307.0470,97.2012,123.1202
2024-06-03 00:00:00-04:00,113.2776,1056.9988,172.8277,283.1052,143.6619,305.8893,307.8956,96.4518,119.4187
2024-06-04 00:00:00-04:00,114.5895,1066.9668,173.0451,284.6759,142.3831,305.7989,308.9389,97.0401,117.6063
2024-06-05 00:00:00-04:00,114.3980,1074.3232,180.1330,288.3736,149.6455,307.0516,315.9424,97.3587,119.4894
2024-06-06 00:00:00-04:00,115.2200,1069.0044,179.1561,288.2520,148.4402,311.4558,316.2390,98.2534,116.6530
2024-06-07 00:00:00-04:00,114.5670,1071.7267,179.1203,287.7170,148.2249,310.5469,314.9494,97.5425,114.6576
2024-06-10 00:00:00-04:00,112.1149,1065.7996,179.4370,288.4296,152.4962,313.2072,317.8993,97.4717,121.4153
2024-06-11 00:00:00-04:00,111.7539,1065.5630,183.4018,287.8493,152.8773,312.6136,320.7815,98.2464,122.8119
2024-06-12 00:00:00-04:00,110.4317,1088.5447,188.8317,290.6387,157.7162,313.1090,324.4458,99.5098,122.3375
2024-06-13 00:00:00-04:00,109.9645,1083.3671,192.6418,288.9807,157.7715,309.9473,322.6763,98.4534,123.0817
2024-06-14 00:00:00-04:00,109.9103,1084.1353,192.8197,290.4788,157.3927,311.0082,325.1774,97.4034,121.1248
2024-06-17 00:00:00-04:00,111.5119,1110.2685,195.9820,291.5251,161.4296,312.0935,328.0508,98.0647,119.7687
2024-06-18 00:00:00-04:00,111.4516,1114.4258,197.4026,291.3269,164.2895,311.8443,326.2576,98.2071,122.9878
2024-06-20 00:00:00-04:00,111.4097,1114.6276,192.3352,292.6559,159.8175,313.6519,326.4565,97.0688,123.8975
2024-06-21 00:00:00-04:00,111.9892,1119.6932,188.6534,293.0117,157.2744,314.6424,328.3770,99.0959,121.9880
