Date,Consumer non-durables,Consumer services,Electronic technology,Health technology,Producer manufacturing,Retail trade,Technology services,Transportation,Utilities
2024-01-01 00:00:00-05:00,122.2382,965.7165,126.9209,261.0487,106.1554,255.6863,256.3429,91.8825,81.8832
2024-01-08 00:00:00-05:00,121.3931,990.1603,131.9560,271.7333,108.2715,270.5080,270.1376,97.3393,79.5364
2024-01-15 00:00:00-05:00,120.7228,1021.2557,139.7116,272.8602,118.2146,274.8677,276.2416,98.2887,78.8050
2024-01-22 00:00:00-05:00,121.5039,999.0250,142.8455,272.2285,119.1842,279.1202,285.2267,99.9969,81.5181
2024-01-29 00:00:00-05:00,122.2436,1006.8746,143.4137,274.5944,119.9126,289.5821,295.3562,102.3023,84.9998
2024-02-05 00:00:00-05:00,120.4473,1055.8538,150.1286,272.1932,130.6180,292.4064,300.6409,109.7968,85.1661
2024-02-12 00:00:00-05:00,118.5018,1044.7046,147.6371,268.0656,137.1323,290.2281,293.3634,107.0254,86.3804
2024-02-19 00:00:00-05:00,120.6937,993.1816,151.3033,275.7195,136.7678,290.5795,297.9001,111.9268,88.0052
2024-02-26 00:00:00-05:00,118.8562,991.6036,156.4929,276.1775,144.8522,293.8249,301.6155,115.2509,101.1345
2024-03-04 00:00:00-05:00,118.8726,987.6868,154.8661,271.9778,142.1344,284.2010,297.5637,116.3147,101.6541
2024-03-11 00:00:00-04:00,119.7431,970.8563,152.3842,268.9469,137.9680,283.8041,298.3471,114.7439,99.4607
2024-03-18 00:00:00-04:00,119.7865,1027.1499,157.6413,270.6657,146.4746,290.9337,310.8544,120.0419,104.8786
2024-03-25 00:00:00-04:00,119.9347,1028.9682,155.4070,273.7153,144.5822,289.1846,304.4986,120.0164,108.6246
2024-04-01 00:00:00-04:00,115.1027,1019.3920,153.6653,265.5632,144.8580,289.8333,312.4845,121.6202,111.3179
2024-04-08 00:00:00-04:00,113.0292,999.8765,155.0739,260.0264,143.7417,290.4258,310.1490,120.1480,110.1237
2024-04-15 00:00:00-04:00,116.5049,968.4919,140.4580,254.8192,131.6167,275.9437,293.7539,112.3671,106.7763
2024-04-22 00:00:00-04:00,118.6849,996.5401,151.5626,258.6826,139.6068,284.6295,298.7050,110.1363,109.8194
2024-04-29 00:00:00-04:00,118.4185,1008.7130,154.9987,269.9924,138.0629,300.1021,298.9760,100.7565,113.2298
2024-05-06 00:00:00-04:00,120.2064,1068.1316,157.4099,275.8836,141.3679,308.5772,306.6924,101.4607,122.1351
2024-05-13 00:00:00-04:00,120.1398,1042.6808,162.2198,283.1090,141.6901,310.1143,312.0280,102.2679,122.1000
2024-05-20 00:00:00-04:00,116.0308,1064.4647,169.5430,283.0921,148.3170,307.5995,315.7944,98.2709,127.5626
2024-05-27 00:00:00-04:00,114.4289,1060.3644,170.2289,280.7016,144.2111,305.1457,307.0464,97.1649,122.9884
2024-06-03 00:00:00-04:00,114.0008,1069.4793,179.1103,287.7170,148.2249,310.5468,314.9494,97.5013,114.6576
2024-06-10 00:00:00-04:00,109.9103,1084.1352,192.8105,290.3714,157.3927,311.0029,325.0181,97.4034,121.0337
2024-06-17 00:00:00-04:00,111.9892,1119.6932,188.6534,293.0117,157.1937,314.6424,328.3770,99.0959,121.9880
2024-06-24 00:00:00-04:00,109.9948,1112.7534,187.2072,294.6780,157.6274,318.8217,330.1615,96.6635,115.0281
2024-07-01 00:00:00-04:00,110.0691,1104.7594,196.2948,293.1869,160.8586,328.8886,345.5069,98.7819,119.2628
2024-07-08 00:00:00-04:00,110.3914,1129.8127,199.5594,303.0921,160.9147,323.7296,331.4916,96.9553,122.7390
2024-07-15 00:00:00-04:00,111.2700,1117.4378,184.4594,301.8736,141.7136,310.1037,319.3919,98.6621,112.6161
2024-07-22 00:00:00-04:00,111.3691,1049.4975,179.2382,300.2265,137.8543,307.1068,309.5678,99.0347,108.0667
2024-07-29 00:00:00-04:00,113.6980,950.6469,171.7576,302.6758,121.4846,301.5518,305.4219,104.3623,106.9001
2024-08-05 00:00:00-04:00,110.4947,978.2975,172.7093,303.7150,126.9571,309.3813,309.6505,107.5433,114.4398
2024-08-12 00:00:00-04:00,112.0123,1026.1939,188.9406,311.5593,136.8251,322.8765,317.2859,111.2802,114.9126
2024-08-19 00:00:00-04:00,114.3469,1081.6460,191.3560,316.6345,133.9458,324.3944,318.7188,111.8269,117.4782
2024-08-26 00:00:00-04:00,113.0014,1103.2836,187.6280,319.0156,130.7405,327.0489,317.9127,110.1691,118.8758
2024-09-02 00:00:00-04:00,115.3612,1054.2709,168.7626,305.8611,117.3807,316.9105,302.5616,105.8941,110.2010
2024-09-09 00:00:00-04:00,116.9710,1112.2841,182.8894,314.5390,124.8270,338.0210,319.2550,111.4002,120.3178
2024-09-16 00:00:00-04:00,114.0317,1147.6074,183.5253,312.9655,127.1027,340.1885,328.6409,116.5102,143.4835
2024-09-23 00:00:00-04:00,114.4807,1195.4964,187.9883,303.0126,134.5733,335.3086,327.7041,118.1743,144.3087
2024-09-30 00:00:00-04:00,112.3076,1180.4005,189.2545,298.6521,133.7181,331.0134,330.1614,118.7787,155.1254
2024-10-07 00:00:00-04:00,115.5225,1206.9443,194.7668,303.2161,136.0965,337.8159,329.5499,122.6164,146.6400
2024-10-14 00:00:00-04:00,116.9839,1225.4558,193.5494,306.5736,124.7482,336.6574,329.4667,123.7134,149.2931
2024-10-21 00:00:00-04:00,115.5092,1223.9382,192.5686,299.1533,126.1406,334.5776,331.9280,124.1884,146.3274
2024-10-28 00:00:00-04:00,113.2083,1329.2891,185.4905,289.7161,123.2446,340.2637,328.8622,125.6919,143.6355
2024-11-04 00:00:00-05:00,112.3656,1384.9343,195.1803,299.2807,129.9930,349.6087,344.3644,138.9519,136.0860
2024-11-11 00:00:00-05:00,109.3823,1391.1635,187.6942,279.8794,116.7225,341.0080,336.4959,135.9293,130.8757
2024-11-18 00:00:00-05:00,111.2911,1445.7281,190.2352,282.8510,120.7182,348.1356,339.6800,141.0513,141.7827
2024-11-25 00:00:00-05:00,112.2493,1453.4677,191.3387,284.1510,121.6920,356.2549,344.4231,143.8047,145.3374
2024-12-02 00:00:00-05:00,113.3627,1478.9932,197.4828,285.7685,121.9311,371.6572,362.7027,138.5489,142.4358
2024-12-09 00:00:00-05:00,113.6985,1457.6305,201.3031,280.1736,119.8132,367.1446,366.1489,136.0397,135.4353
2024-12-16 00:00:00-05:00,109.8987,1405.4219,201.3433,267.0635,114.4352,356.7657,357.4904,130.3001,130.5438
2024-12-23 00:00:00-05:00,110.6737,1402.3528,205.7181,271.1675,116.8063,354.2180,357.7878,129.4126,130.4933
2024-12-30 00:00:00-05:00,108.7285,1368.2004,204.1311,270.9400,118.9069,355.6085,354.9440,132.4859,140.5608
2025-01-06 00:00:00-05:00,105.4892,1323.5158,198.2819,272.1496,119.6529,351.3727,351.9703,129.0036,161.2648
2025-01-13 00:00:00-05:00,107.3056,1375.5001,200.6285,281.7739,131.0622,360.6751,358.3901,133.7509,167.6444
