date,timeframe,universe_config,user_choice,universes_analyzed,ad_thrust,advance_decline_ratio,advancing_stocks,bearish_momentum_10d,bearish_momentum_20d,bearish_momentum_5d,breadth_deterioration,breadth_rating,breadth_thrust,bullish_momentum_10d,bullish_momentum_20d,bullish_momentum_5d,combined_advance_decline_ratio,combined_pct_above_ma20,combined_pct_above_ma200,combined_pct_above_ma50,consecutive_bearish_days,consecutive_bullish_days,declining_stocks,highs_lows_ratio_20d,highs_lows_ratio_52w,market_participation,net_20day_highs,net_52week_highs,net_advances,net_momentum_10d,net_momentum_20d,net_momentum_5d,net_signal_score,new_20day_highs,new_20day_lows,new_52week_highs,new_52week_lows,new_highs_expansion,new_lows_expansion,overall_breadth_score,pct_advancing,pct_at_20day_highs,pct_at_52week_highs,pct_declining,signal_strength,total_bearish_signals,total_bullish_signals,total_stocks,total_stocks_analyzed,unchanged_stocks,univ_1_advancing_stocks,univ_1_breadth_momentum,univ_1_name,univ_1_pct_above_ma20,univ_1_pct_above_ma200,univ_1_pct_above_ma50,univ_1_pct_advancing,univ_1_total_members,universes_included
2024-01-02,daily,NASDAQ100,2-5,NASDAQ100,0,0.0,0.0,,,,1,Very Poor,0,,,,,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Weak Signal,1,0,601.0,601.0,0.0,0,Very Weak,NASDAQ100,0.0,0.0,0.0,0.0,101,SP500;NASDAQ100
2024-01-03,daily,NASDAQ100,2-5,NASDAQ100,0,0.26105263157894737,124.0,,,1.0,1,Very Poor,0,,,0.0,0.24375,0.0,0.0,0.0,2,0,475.0,0.0,0.0,99.66722129783693,0.0,0.0,-351.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,20.632279534109816,0.0,0.0,79.03494176372712,Weak Signal,1,0,601.0,601.0,2.0,17,Very Weak,NASDAQ100,0.0,0.0,0.0,16.83,101,SP500;NASDAQ100
2024-01-04,daily,NASDAQ100,2-5,NASDAQ100,0,1.0134680134680134,301.0,,,1.0,1,Very Poor,0,,,0.0,0.98875,0.0,0.0,0.0,3,0,297.0,0.0,0.0,99.50083194675541,0.0,0.0,4.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,50.08319467554077,0.0,0.0,49.417637271214645,Weak Signal,1,0,601.0,601.0,3.0,48,Very Weak,NASDAQ100,0.0,0.0,0.0,47.52,101,SP500;NASDAQ100
2024-01-05,daily,NASDAQ100,2-5,NASDAQ100,0,1.1715328467153285,321.0,,,1.0,1,Very Poor,0,,,0.0,1.0812499999999998,0.0,0.0,0.0,4,0,274.0,0.0,0.0,99.00166389351082,0.0,0.0,47.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,53.41098169717138,0.0,0.0,45.59068219633943,Weak Signal,1,0,601.0,601.0,6.0,43,Very Weak,NASDAQ100,0.0,0.0,0.0,42.57,101,SP500;NASDAQ100
2024-01-08,daily,NASDAQ100,2-5,NASDAQ100,1,5.582417582417582,508.0,1.0,,1.0,1,Very Poor,0,0.2,,0.2,7.001250000000001,0.0,0.0,0.0,0,0,91.0,0.0,0.0,99.66722129783693,0.0,0.0,417.0,-0.8,,-0.8,0,0.0,0.0,0.0,0.0,0,0,0.0,84.52579034941763,0.0,0.0,15.141430948419302,Weak Signal,1,1,601.0,601.0,2.0,92,Very Weak,NASDAQ100,0.0,0.0,0.0,91.09,101,SP500;NASDAQ100
2024-01-09,daily,NASDAQ100,2-5,NASDAQ100,0,0.47901234567901235,194.0,1.0,,1.0,1,Very Poor,0,0.17,,0.2,0.54125,0.0,0.0,0.0,1,0,405.0,0.0,0.0,99.66722129783693,0.0,0.0,-211.0,-0.83,,-0.8,-1,0.0,0.0,0.0,0.0,0,0,0.0,32.27953410981697,0.0,0.0,67.38768718801997,Weak Signal,1,0,601.0,601.0,2.0,42,Very Weak,NASDAQ100,0.0,0.0,0.0,41.58,101,SP500;NASDAQ100
2024-01-10,daily,NASDAQ100,2-5,NASDAQ100,0,1.2518796992481203,333.0,1.0,,1.0,1,Very Poor,0,0.14,,0.2,1.2125,0.0,0.0,0.0,2,0,266.0,0.0,0.0,99.66722129783693,0.0,0.0,67.0,-0.86,,-0.8,-1,0.0,0.0,0.0,0.0,0,0,0.0,55.40765391014975,0.0,0.0,44.259567387687184,Weak Signal,1,0,601.0,601.0,2.0,53,Very Weak,NASDAQ100,0.0,0.0,0.0,52.48,101,SP500;NASDAQ100
2024-01-11,daily,NASDAQ100,2-5,NASDAQ100,0,0.8625,276.0,1.0,,1.0,1,Very Poor,0,0.12,,0.2,1.005,0.0,0.0,0.0,3,0,320.0,0.0,0.0,99.16805324459234,0.0,0.0,-44.0,-0.88,,-0.8,-1,0.0,0.0,0.0,0.0,0,0,0.0,45.92346089850249,0.0,0.0,53.244592346089846,Weak Signal,1,0,601.0,601.0,5.0,58,Very Weak,NASDAQ100,0.0,0.0,0.0,57.43,101,SP500;NASDAQ100
2024-01-12,daily,NASDAQ100,2-5,NASDAQ100,0,1.1788321167883211,323.0,1.0,,1.0,1,Very Poor,0,0.11,,0.2,1.2174999999999998,0.0,0.0,0.0,4,0,274.0,0.0,0.0,99.33444259567388,0.0,0.0,49.0,-0.89,,-0.8,-1,0.0,0.0,0.0,0.0,0,0,0.0,53.74376039933444,0.0,0.0,45.59068219633943,Weak Signal,1,0,601.0,601.0,4.0,57,Very Weak,NASDAQ100,0.0,0.0,0.0,56.44,101,SP500;NASDAQ100
2024-01-16,daily,NASDAQ100,2-5,NASDAQ100,0,0.43614457831325304,181.0,1.0,1.0,1.0,1,Very Poor,0,0.1,0.1,0.0,0.50125,47.4075,0.0,0.0,5,0,415.0,0.398876404494382,0.0,99.16805324459234,-107.0,0.0,-234.0,-0.9,-0.9,-1.0,-1,71.0,178.0,0.0,0.0,0,0,14.222249999999999,30.116472545757073,11.813643926788686,0.0,69.05158069883528,Weak Signal,1,0,601.0,601.0,5.0,40,Weak,NASDAQ100,58.42,0.0,0.0,39.6,101,SP500;NASDAQ100
2024-01-17,daily,NASDAQ100,2-5,NASDAQ100,0,0.29653679653679654,137.0,1.0,1.0,1.0,1,Very Poor,0,0.1,0.09,0.0,0.32625,42.03999999999999,0.0,0.0,6,0,462.0,0.2645739910313901,0.0,99.66722129783693,-164.0,0.0,-325.0,-0.9,-0.91,-1.0,-1,59.0,223.0,0.0,0.0,0,0,12.611999999999997,22.795341098169715,9.816971713810316,0.0,76.87188019966722,Weak Signal,1,0,601.0,601.0,2.0,30,Weak,NASDAQ100,56.44,0.0,0.0,29.7,101,SP500;NASDAQ100
2024-01-18,daily,NASDAQ100,2-5,NASDAQ100,1,2.340782122905028,419.0,1.0,1.0,1.0,1,Very Poor,0,0.2,0.17,0.2,3.1462499999999998,53.62375,0.0,0.0,0,0,179.0,0.5761589403973509,0.0,99.50083194675541,-64.0,0.0,240.0,-0.8,-0.83,-0.8,0,87.0,151.0,0.0,0.0,0,0,16.087125,69.7171381031614,14.47587354409318,0.0,29.783693843594012,Weak Signal,1,1,601.0,601.0,3.0,84,Weak,NASDAQ100,67.33,0.0,0.0,83.17,101,SP500;NASDAQ100
2024-01-19,daily,NASDAQ100,2-5,NASDAQ100,1,3.25531914893617,459.0,1.0,1.0,1.0,1,Very Poor,0,0.3,0.23,0.4,3.99875,59.22625,0.0,0.0,0,0,141.0,2.223684210526316,0.0,99.83361064891847,93.0,0.0,318.0,-0.7,-0.77,-0.6,0,169.0,76.0,0.0,0.0,0,0,17.767875,76.37271214642263,28.1198003327787,0.0,23.46089850249584,Weak Signal,1,1,601.0,601.0,1.0,86,Weak,NASDAQ100,73.27,0.0,0.0,85.15,101,SP500;NASDAQ100
2024-01-22,daily,NASDAQ100,2-5,NASDAQ100,1,2.397727272727273,422.0,1.0,1.0,1.0,1,Very Poor,0,0.4,0.29,0.6,2.30125,65.83999999999999,0.0,0.0,0,0,176.0,4.037037037037037,0.0,99.50083194675541,164.0,0.0,246.0,-0.6,-0.71,-0.4,0,218.0,54.0,0.0,0.0,0,0,19.751999999999995,70.21630615640599,36.272878535773714,0.0,29.28452579034942,Weak Signal,1,1,601.0,601.0,3.0,67,Weak,NASDAQ100,76.24,0.0,0.0,66.34,101,SP500;NASDAQ100
2024-01-23,daily,NASDAQ100,2-5,NASDAQ100,0,1.243445692883895,332.0,1.0,1.0,1.0,1,Very Poor,0,0.3,0.27,0.6,1.4274999999999998,66.32875,0.0,0.0,1,0,267.0,2.7111111111111112,0.0,99.66722129783693,77.0,0.0,65.0,-0.7,-0.73,-0.4,-1,122.0,45.0,0.0,0.0,0,0,19.898625,55.24126455906821,20.299500831946755,0.0,44.42595673876872,Weak Signal,1,0,601.0,601.0,2.0,66,Weak,NASDAQ100,79.21,0.0,0.0,65.35,101,SP500;NASDAQ100
2024-01-24,daily,NASDAQ100,2-5,NASDAQ100,0,0.4258373205741627,178.0,1.0,1.0,1.0,1,Very Poor,0,0.3,0.25,0.6,0.45499999999999996,59.097500000000004,0.0,0.0,2,0,418.0,2.5538461538461537,0.0,99.16805324459234,101.0,0.0,-240.0,-0.7,-0.75,-0.4,-1,166.0,65.0,0.0,0.0,0,0,17.72925,29.61730449251248,27.620632279534107,0.0,69.55074875207987,Weak Signal,1,0,601.0,601.0,5.0,35,Weak,NASDAQ100,74.26,0.0,0.0,34.65,101,SP500;NASDAQ100
2024-01-25,daily,NASDAQ100,2-5,NASDAQ100,1,3.1597222222222223,455.0,0.9,0.94,0.8,0,Poor,0,0.4,0.29,0.6,2.9349999999999996,68.3475,0.0,0.0,0,1,144.0,3.073170731707317,0.0,99.66722129783693,85.0,0.0,311.0,-0.5,-0.65,-0.2,1,126.0,41.0,0.0,0.0,0,0,20.50425,75.7071547420965,20.965058236272878,0.0,23.960066555740433,Weak Signal,0,1,601.0,601.0,2.0,65,Weak,NASDAQ100,74.26,0.0,0.0,64.36,101,SP500;NASDAQ100
