time,open,high,low,close
2006-10-30,0.64,0.64,0.61,0.64
2006-11-06,0.55,0.79,0.55,0.79
2006-11-13,0.59,0.59,0.47,0.47
2006-11-20,0.54,0.63,0.52,0.52
2006-11-27,0.68,0.68,0.53,0.59
2006-12-04,0.64,0.69,0.54,0.55
2006-12-11,0.57,0.7,0.45,0.5
2006-12-18,0.59,0.67,0.45,0.66
2006-12-25,0.62,0.73,0.54,0.54
2007-01-01,0.59,0.59,0.51,0.59
2007-01-08,0.71,0.71,0.54,0.56
2007-01-15,0.56,0.6,0.55,0.55
2007-01-22,0.62,0.71,0.58,0.66
2007-01-29,0.6,0.7,0.56,0.7
2007-02-05,0.57,0.68,0.55,0.68
2007-02-12,0.78,0.78,0.54,0.55
2007-02-19,0.65,0.73,0.65,0.73
2007-02-26,0.75,0.87,0.73,0.8
2007-03-05,0.96,0.96,0.7,0.82
2007-03-12,0.75,0.98,0.75,0.84
2007-03-19,0.61,0.73,0.61,0.65
2007-03-26,0.69,0.89,0.62,0.67
2007-04-02,0.63,0.74,0.55,0.55
2007-04-09,0.61,0.73,0.61,0.67
2007-04-16,0.56,0.67,0.5,0.5
2007-04-23,0.58,0.73,0.58,0.58
2007-04-30,0.64,0.73,0.54,0.54
2007-05-07,0.45,0.68,0.45,0.62
2007-05-14,0.51,0.7,0.49,0.51
2007-05-21,0.55,0.67,0.55,0.55
2007-05-28,0.58,0.65,0.5,0.5
2007-06-04,0.52,0.72,0.52,0.6
2007-06-11,0.71,0.71,0.48,0.48
2007-06-18,0.58,0.63,0.58,0.62
2007-06-25,0.76,0.76,0.59,0.65
2007-07-02,0.54,0.59,0.53,0.53
2007-07-09,0.52,0.59,0.48,0.5
2007-07-16,0.54,0.73,0.54,0.69
2007-07-23,0.54,0.85,0.54,0.77
2007-07-30,0.71,0.87,0.71,0.8
2007-08-06,0.84,0.84,0.6,0.6
2007-08-13,0.71,1.06,0.71,0.74
2007-08-20,0.61,0.71,0.61,0.68
2007-08-27,0.68,0.87,0.65,0.65
2007-09-03,0.67,0.77,0.62,0.77
2007-09-10,0.78,0.84,0.58,0.63
2007-09-17,0.65,0.69,0.53,0.53
2007-09-24,0.61,0.78,0.58,0.78
2007-10-01,0.57,0.66,0.5,0.56
2007-10-08,0.52,0.61,0.52,0.56
2007-10-15,0.53,0.75,0.52,0.73
2007-10-22,0.66,0.76,0.53,0.53
2007-10-29,0.57,0.84,0.45,0.7
2007-11-05,0.67,0.83,0.67,0.72
2007-11-12,0.59,0.99,0.59,0.99
2007-11-19,0.66,0.82,0.54,0.54
2007-11-26,0.7,0.7,0.55,0.68
2007-12-03,0.62,0.87,0.55,0.6
2007-12-10,0.68,0.79,0.62,0.62
2007-12-17,0.64,0.77,0.42,0.64
2007-12-24,0.72,0.72,0.56,0.56
2007-12-31,0.67,0.78,0.61,0.61
2008-01-07,0.78,0.97,0.69,0.71
2008-01-14,0.7,1.05,0.7,0.99
2008-01-21,0.73,0.75,0.59,0.67
2008-01-28,0.64,0.7,0.56,0.56
2008-02-04,0.68,0.94,0.68,0.79
2008-02-11,0.68,0.78,0.68,0.78
2008-02-18,0.67,0.84,0.67,0.84
