ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,downside_volatility,var_95_1d,var_95_1w
NVDA,simple_trend,167.02000427246094,88.0,False,True,True,3.2389813232421885,2.7985459899902336,0.7455349197387704,83.33333333333333,167.15252595244854,0.0007934479499318182,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,
NVDA,mean_reversion,167.02000427246094,,,,,,,,,,,,152.77143249511718,199.42465907874248,106.11820591149187,0.6527072490024177,75.21316929127211,False,False,0.0,neutral,152.77143249511718,-0.08531057006860066,,,,,,,,,,
NVDA,volatility,167.02000427246094,,,,,,,,,,,,,,,,,,,,,,,0.07137019156310168,1.1329666673940435,0.7676751172358446,1.1835576126272818,1.1494252873563218,low,0.45666068578331054,0.6551737027527823,,
MSFT,simple_trend,495.0,88.0,False,True,True,3.425150756835933,6.1372088623046865,1.1480484619140612,83.33333333333333,475.24048224847024,-0.039918217679858065,1.0,,,,,,,,,,,,,,,,,,,,,
MSFT,mean_reversion,495.0,,,,,,,,,,,,482.3262710571289,553.2445886629682,411.40795345128964,0.5893544106144132,68.53499769105309,False,False,0.0,neutral,482.3262710571289,-0.025603492813880968,,,,,,,,,,
MSFT,volatility,495.0,,,,,,,,,,,,,,,,,,,,,,,0.03077990641491619,0.4886158665102595,0.48552647254186215,0.49870939085309923,43.67816091954023,normal,0.4258663690601092,0.2625228928599759,,
AAPL,simple_trend,239.69000244140625,88.0,True,True,True,3.1568966674804697,0.06192459106445369,-0.017065856933594147,100.0,306.672475975823,0.2794545990744484,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,
AAPL,mean_reversion,239.69000244140625,,,,,,,,,,,,211.52914810180664,238.39528356980858,184.6630126338047,1.0240957407726112,71.97921248638079,False,True,-28.02078751361921,down,211.52914810180664,-0.1174886480569155,,,,,,,,,,
AAPL,volatility,239.69000244140625,,,,,,,,,,,,,,,,,,,,,,,0.040322453713859584,0.6400991086727116,0.7469236311656676,0.6072009549661872,54.02298850574713,normal,1.512241553263122,0.4551923505204979,,
GOOGL,simple_trend,235.0,88.0,True,True,True,3.8937771606445324,1.7133295440673806,0.26109800720214765,100.0,326.48902828588,0.3893150139824681,0.7333333333333333,,,,,,,,,,,,,,,,,,,,,
GOOGL,mean_reversion,235.0,,,,,,,,,,,,183.17288131713866,223.97193986644925,142.37382276782807,1.1351509143308052,86.38981907871138,False,True,-13.610180921288617,down,183.17288131713866,-0.2205409305653674,,,,,,,,,,
GOOGL,volatility,235.0,,,,,,,,,,,,,,,,,,,,,,,0.04158993837771554,0.6602198039396185,0.6742724579111041,0.6270496839475385,51.724137931034484,normal,0.997364847089149,0.3811717239467918,,
GOOG,simple_trend,235.1699981689453,88.0,True,True,True,3.867973327636713,1.6520297241210926,0.2519082794189444,100.0,324.9298945839355,0.38168089940838024,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,
GOOG,mean_reversion,235.1699981689453,,,,,,,,,,,,184.16727981567382,224.29338647915495,144.0411731521927,1.135530364072042,86.07415928994754,False,True,-13.925840710052455,down,184.16727981567382,-0.21687595675631766,,,,,,,,,,
