ticker,date,price,volume,composite_score,score_category,longterm_score,shortterm_score,ma_alignment_score,longterm_contribution,shortterm_contribution,ma_contribution,meets_threshold,key_strengths,key_weaknesses,mom_current_streak,mom_avg_monthly_change,momentum_signal,acceleration_pattern,ma_alignment,recent_crossover,rank
KLAC,2025-09-05,905.09,1155200,57.24,weak,28.33,63.02,90.0,11.33,18.91,27.0,False,ma_alignment,longterm,1,67.79,deceleration,slowing_momentum,bullish,,23
TTWO,2025-09-05,239.68,979400,56.17,weak,33.33,72.8,70.0,13.33,21.84,21.0,False,none,longterm,0,29.16,momentum,moderate_acceleration,neutral,,24
FAST,2025-09-05,47.99,9382500,56.11,weak,33.33,52.6,90.0,13.33,15.78,27.0,False,ma_alignment,longterm;shortterm,2,24.43,deceleration,slowing_momentum,bullish,,25
MELI,2025-09-05,2417.49,493500,55.78,weak,18.33,91.5,70.0,7.33,27.45,21.0,False,shortterm,longterm,0,15.01,momentum,moderate_acceleration,neutral,,26
ROST,2025-09-05,150.95,2438400,55.73,weak,18.33,81.54,79.8,7.33,24.46,23.94,False,shortterm,longterm,0,-15.02,momentum,,neutral,,27
LIN,2025-09-05,469.52,1066200,55.39,weak,33.33,50.18,90.0,13.33,15.05,27.0,False,ma_alignment,longterm;shortterm,0,22.54,deceleration,,bullish,,28
TSLA,2025-09-05,350.84,108771700,55.32,weak,16.67,67.97,94.2,6.67,20.39,28.26,False,ma_alignment,longterm,0,28.63,momentum,,bullish,,29
VRSK,2025-09-05,270.31,1005000,55.07,weak,29.84,73.78,70.0,11.94,22.13,21.0,False,none,longterm,0,5.56,momentum,,neutral,,30
CSX,2025-09-05,32.53,9676400,55.0,weak,10.0,100.0,70.0,4.0,30.0,21.0,False,shortterm,longterm,0,132.52,momentum,moderate_acceleration,neutral,,31
PLTR,2025-09-05,153.11,81705900,54.89,weak,30.4,47.82,94.61,12.16,14.35,28.38,False,ma_alignment,longterm;shortterm,0,8.32,deceleration,slowing_momentum,bullish,,32
ISRG,2025-09-05,466.86,2623100,54.42,weak,29.27,92.37,50.0,11.71,27.71,15.0,False,shortterm,longterm;ma_alignment,0,1.37,momentum,,bearish,,33
TMUS,2025-09-05,252.76,3294200,54.29,weak,30.78,41.65,98.29,12.31,12.5,29.49,False,ma_alignment,longterm;shortterm,0,6.33,deceleration,,bullish,,34
PDD,2025-09-05,124.68,8490800,54.25,weak,10.0,97.51,70.0,4.0,29.25,21.0,False,shortterm,longterm,0,-6.59,momentum,,neutral,,35
FTNT,2025-09-05,78.83,10495200,54.0,weak,25.52,55.96,90.0,10.21,16.79,27.0,False,ma_alignment,longterm;shortterm,0,8.92,deceleration,slowing_momentum,bullish,,36
