ticker,monthly_changes,avg_monthly_change,consistency_score,qualifying_streak,current_streak,total_months_analyzed,months_in_range,meets_criteria
BKNG,"[46.09875068300583, 78.99501026654298, 29.379445026752034, 12.818673132429389, 0.3625491457363213, 14.942685271248966]",30.43,28.33,1,0,6,1,False
MELI,"[18.605373570333413, 70.1806501812402, 11.253131604915616, -1.0683026477600144, -1.5478906739526535, -7.359804471760552]",15.01,18.33,1,0,6,1,False
REGN,"[-20.65325531373257, 48.54644956375126, -17.50544198577852, -42.95301383943016, -32.84424549492168, -15.313988599026565]",-13.45,3.33,0,0,6,0,False
CHTR,"[12.946798716385228, 26.046138431228194, -5.789982844407604, 6.108469337044978, -197.95348064394474, -7.875596733908817]",-27.75,18.33,1,0,6,1,False
KLAC,"[135.39881015261602, 146.65415500113562, 37.67765586155282, 58.77099162093451, 12.665256144422937, 15.56331400844783]",67.79,28.33,1,1,6,1,False
META,"[-13.432731648158159, 28.673540944591387, 22.6644101881921, -14.6890723464341, -34.77579084781392, 15.448179680387478]",0.65,35.0,2,1,6,3,False
ASML,"[-20.457616104598866, 12.189689484038144, 17.161997214434464, 26.491028889895045, 8.460239392213973, 105.59983586647587]",24.91,33.33,2,0,6,2,False
NFLX,"[29.671420535632798, 52.484703695310365, 36.187747186080585, 3.3191909751537345, -13.779775729610538, 20.60676648079188]",21.42,33.33,1,1,6,2,False
COST,"[-4.6467637584244805, 15.8701135792164, 17.73210071604774, -5.5523489673830575, -17.82549343851739, 6.386433748208094]",1.99,30.36,2,0,6,2,False
ADBE,"[-40.505685304405894, 19.324837367397386, -6.276050603287543, -22.099535921377207, -58.759272262149096, 30.134727575846092]",-13.03,15.0,1,0,6,1,False
LULU,"[-10.942702697591146, 29.641403237592662, 5.202596380018065, -80.59723689546931, -41.87916632522683, 3.409923250528023]",-15.86,18.33,1,0,6,1,False
ROP,"[27.28086458164944, 18.019911324194727, 4.752659596713784, 24.423155166598196, -13.025324572585609, -3.0122745669460627]",9.74,40.98,2,0,6,3,False
LIN,"[20.24780642721953, 7.959146667090413, 76.85240505921878, -1.7265410304992352, 18.776360537537748, 13.116362054234552]",22.54,33.33,1,0,6,2,False
FANG,"[183.4310823276217, -35.11015545745081, 13.008321830852095, -137.0898664794069, 202.10232693914753, 11.7465872824402]",39.68,13.33,0,0,6,0,False
VRTX,"[1.938544657111237, 40.284440744956825, 1.5042272656359965, -3.071758406835517, -33.32362848611294, -9.252072444569015]",-0.32,10.0,0,0,6,0,False
SNPS,"[-42.55348065240641, 36.18667720160124, 35.83926505131301, 12.248685208282131, 203.16402566628966, 12.93730385012489]",42.97,16.67,0,0,6,0,False
INTU,"[74.77577428901789, 26.104233788290692, 35.86753338026756, 38.48504680897776, 0.7946634090141664, 0.8389706776761874]",29.48,28.33,1,0,6,1,False
MSFT,"[13.340618543242378, 22.774765158672835, 7.232087756387191, 9.835470277489279, -5.394410156751945, -15.644416592108684]",5.36,25.38,1,0,6,1,False
AMGN,"[85.29347853396025, 64.92474907208464, 45.71562927481396, -11.757638617380277, 11.659821349566574, -7.213911610761103]",31.44,13.33,0,0,6,0,False
IDXX,"[-61.222858786598685, 28.247216350745514, 71.28293337856518, 166.21633541754943, 239.63293378219578, 23.372125400674147]",77.92,33.33,1,1,6,2,False
MSTR,"[81.11406185044274, 728.5365523149557, -30.339011123644617, 0.05169428704170193, -54.04857683408915, 15.025783720569866]",123.39,21.67,1,1,6,1,False
TMUS,"[8.462653964082872, 4.40936260050743, 15.784949857164115, 11.311967198161135, -10.938352361121149, 8.976830524121265]",6.33,30.78,1,0,6,1,False
BIIB,"[-54.07697901557151, -6.140439556840822, 14.574248912951793, -15.393629868557412, -5.208307343279444, -6.121930584626992]",-12.06,3.33,0,0,6,0,False
QCOM,"[0.8841502162977777, 49.46871553456586, -9.770477726014484, -11.211491632634475, -37.47084429773403, 80.01451940182565]",11.99,10.0,0,0,6,0,False
ADP,"[4.183345814229716, 17.726278683219167, 36.300989837244316, 3.968879370980506, -2.925963393258991, 7.5728839932037815]",11.14,28.59,1,0,6,1,False
CEG,"[-17.297789745967123, 36.13728939423477, 36.10501964820234, -30.189487657712533, 5.072713675262346, -5.859109643269185]",3.99,10.0,0,0,6,0,False
GOOGL,"[5.441915673230201, 14.797754498172178, -22.646803879874106, 60.37549079196648, 12.456695462092235, 87.59979131292725]",26.34,16.67,0,0,6,0,False
GOOG,"[8.32452065767942, 18.51707185306024, -40.40279842719113, 82.1721855958123, 19.44999334746271, 106.57972430561415]",32.44,33.33,1,0,6,2,False
PDD,"[30.6053457584678, -1.1602434218552653, 44.5456079588272, 39.89649898360558, -119.9167026111568, -33.53132083530454]",-6.59,10.0,0,0,6,0,False
MAR,"[2.199512175679082, 20.2649012909679, -1.2395808555928878, 18.099090094436068, -11.901359027185526, -3.677809477207894]",3.96,30.87,1,0,6,2,False
HON,"[-184.2066073832364, 113.00949910745899, 2954.525549132493, 45.20302680260255, -55.55628176240117, 48.31761348391884]",486.88,13.33,0,0,6,0,False
NXPI,"[-339.95309635204245, 252.33666340519517, -11.629885739079688, 22.467572095293804, 10.07040585824616, 44.85895041444672]",-3.64,21.67,1,0,6,1,False
AMAT,"[-52.768705695926144, 277.0814990947261, 25.184547529538552, 57.11015291490209, 17.996479190560457, -14.30197092425079]",51.72,30.0,1,0,6,2,False
CDW,"[-26.37782102098798, 41.814614443981625, 27.222824980021983, -56.53935219274035, -69.86040011892835, 15.7856719858586]",-11.33,26.67,1,1,6,2,False
ISRG,"[-4.558244398210616, 17.086314003443473, 15.893152785069894, -1.9717700915584495, -26.284655173044257, 8.075633162346719]",1.37,29.27,2,0,6,2,False
AEP,"[8.380580892925387, 6.805724687106681, 5.83575129293077, 9.06111397853474, 25.478392275511872, -12.655453974152802]",7.15,29.47,1,0,6,1,False
APP,"[-7.266087240375593, 16.93980343429747, 4.29923203515995, -11.621350702767092, 3.1721534096910293, 18.12698147256154]",3.94,34.45,1,1,6,2,False
AAPL,"[1.8667828670867834, 20.473654287431607, 18.38714241232146, -4.106787723459656, -40.683271009318325, 70.77489160372778]",11.12,30.0,2,0,6,2,False
AMZN,"[12.341260778377517, 12.862252185273515, 6.266161137394451, 1.8826964197939304, -12.011855320100427, 17.469315983578927]",6.47,30.17,1,1,6,1,False
VRSK,"[4.835002646816111, 10.123252198376319, 16.1557568183876, 12.773601914944493, -15.702045392442637, 5.1982962681231735]",5.56,29.84,1,0,6,1,False
ROST,"[-68.32899713947124, 18.41139652891215, 44.021554483698296, -96.68824403120372, 34.1332263930688, -21.685919326721624]",-15.02,18.33,1,0,6,1,False
CMCSA,"[49.221054669691796, 60.716646309207455, -9.132827162595, -47.29630917266966, -295.3747658281711, 21.024525287669746]",-36.81,18.33,1,1,6,1,False
PCAR,"[-15.76909567870645, 34.7934958746901, -12.690140755145476, 13.311773291748658, -14.956749603349948, 3.1446781045018906]",1.31,10.82,0,0,6,0,False
MU,"[-47.71793061906429, 17.41151872784867, 40.050868056728234, 60.7243478337683, 84.77532112719527, 1193.8625211176081]",224.85,25.0,1,0,6,1,False
