ticker,monthly_changes,avg_monthly_change,consistency_score,qualifying_streak,current_streak,total_months_analyzed,months_in_range,meets_criteria
PEP,"[-24.913012098846636, -85.51929266659623, -21.650260076524194, 664.9865333529856, 21.50200878539405, 21.555673438760312]",95.99,26.67,2,2,6,2,False
TXN,"[-47.38346619620427, 239.2705592394113, 120.31995427545736, 41.50934883847503, -33.63430147340047, 68.4905760359187]",64.76,13.33,0,0,6,0,False
ODFL,"[-7.347866539364347, 58.857921664807634, 15.294400661705149, 40.01667554246381, -385.30706728660545, 15.306041777467868]",-43.86,30.0,1,1,6,2,False
GILD,"[20.775199565476335, 8.125850690905839, 13.78109611748207, -1.5564686567977386, -0.5291226952201757, -3.8014896232357875]",6.13,23.87,1,0,6,1,False
CTSH,"[-55.4519040762519, 26.68171368943645, 65.25612786496785, -10.380528234177863, -438.2264830534007, 23.818554079018504]",-64.72,26.67,1,1,6,2,False
GEHC,"[-29.57070743987828, -48.19457836561315, -142.50599149567535, 179.8814390679931, -229.88625460772468, 169.74069721537828]",-16.76,6.67,0,0,6,0,False
PYPL,"[-35.1682080578489, 142.4506255352109, 10.185299454865023, 51.252297130076805, -47.001141851227295, 26.32637758948027]",24.67,21.67,1,1,6,1,False
ADSK,"[-72.73535579979283, 235.08328560680312, 21.245273934728562, 39.581888160627535, -28.2019689018415, -17.94185576957442]",29.51,18.33,1,0,6,1,False
PAYX,"[-10.118347935651665, 62.406908573356155, 44.05979961221889, 21.7532665905391, -4.557014559052705, -2.0036993791942987]",18.59,18.33,1,0,6,1,False
CTAS,"[-22.950007857190215, 51.135518622140964, 38.40311379068259, -2.0350719672169832, 4.80526691004331, -4.574368456578925]",10.8,10.0,0,0,6,0,False
LRCX,"[-18.109704404345894, 30.826630914851737, 18.072198577109088, 50.76834195499136, 87.52786772592127, 1020.8396928182651]",198.32,25.0,1,0,6,1,False
ABNB,"[-9.72866721414138, 38.24729611621052, 38.67000716811183, -0.6765875418004522, -12.033597905816684, 15.082891625102077]",11.59,18.33,1,1,6,1,False
AXON,"[13.257491021340048, 13.269171013355955, 13.504314537148247, 10.501707883571845, 4.26434176034838, -4.175154328808251]",8.44,23.42,0,0,6,0,False
EA,"[-1.1531996343493898, 43.90523826918949, -10.443590763736005, 34.87840885553909, -8.96280888025078, 60.67109153781969]",19.82,10.0,0,0,6,0,False
ADI,"[-14.535676078959328, 20.753586882711964, 6.7942159258617005, 23.623906812392413, -2.7068545349291173, 15.59408679726943]",8.25,41.6,1,1,6,3,False
TRI,"[-41.14564481939709, 299.1526540247846, 47.480561144280756, 14.40884993207331, -267.8178929460254, -41.89235262929238]",1.7,10.0,0,0,6,0,False
CDNS,"[23.448662278719414, 101.50453984819983, -1319.3775675739964, -10.158040083983803, 206.49701865810587, 91.01366255562313]",-151.18,21.67,1,0,6,1,False
CCEP,"[-25.406196887680625, 1.4941402395728665, 15.04176837927766, 0.06284918101698475, 50.51497220181894, 1.731188362350907]",7.24,25.0,1,0,6,1,False
XEL,"[-24.26350519681914, 32.383571195410454, 49.668747372953405, 2.5970795166380265, 19.686281209703303, 6.691657465236905]",14.46,25.0,1,0,6,1,False
NVDA,"[-3.2177620880295583, 12.742242631162199, 5.959188110528413, 6.791073745053657, 3.8958802134853308, 5.788583839815939]",5.33,24.31,0,0,6,0,False
BKR,"[0.8585634839845298, 21.20592186588701, 7.313678306725663, -2.25494116551703, 40.15117438374538, 2.803918644810713]",11.68,27.61,1,0,6,1,False
ORLY,"[29.269585969162137, -12.373504295690148, -3.053405000095666, 22.836670255993578, 12.701240114523857, 4.820459227040018]",9.03,32.82,1,0,6,2,False
MDLZ,"[189.99768031677124, -182.2658740800754, 251.0653351811449, 244.7161956950669, -78.16465015432976, 193.886424658067]",103.21,13.33,0,0,6,0,False
AZN,"[-10.348263011058366, -18.196107682537242, 31.69810292155254, -27.81944853883283, 19.205968584672057, 33.818528251147775]",4.73,18.33,1,0,6,1,False
AVGO,"[-60.98184149395935, 378.7602472208123, 56.10573614252712, -1.0916419722376554, 11.786102773270349, 5.491361748460177]",65.01,13.33,0,0,6,0,False
EXC,"[-4.489676643713582, 13.74570839153709, 5.900883832727486, 2.47724914748916, 15.337715078659004, -8.014380757909345]",4.16,27.36,1,0,6,1,False
CSCO,"[5.004672927225169, -4.632524994331635, 25.203475745350403, 34.66828663181808, 6.1302005874037, 3.821938727795372]",11.7,28.19,1,0,6,1,False
FTNT,"[0.3935099857264252, 10.842117724840312, 16.885689774858687, -3.6457594901795796, -1.9935166342783552, 31.053746721283876]",8.92,25.52,1,0,6,1,False
SBUX,"[-8.081122866912303, 24.40486780390767, 16.836993940104065, 11.387459503276116, -9.681073762064948, -6.7527816064528]",4.69,29.95,2,0,6,2,False
WDAY,"[-22.335588545913467, 28.774508530633536, 0.6558336342021268, -37.32883654083627, -16.270089634036594, 110.16408896826988]",10.61,18.33,1,0,6,1,False
SHOP,"[-6.403553320692507, 50.824902984815914, 7.675384753562911, -0.4394801685176802, 15.940323552043115, 11.779105752645105]",13.23,22.48,1,0,6,1,False
DASH,"[13.670331239024735, 5.935077627155992, 12.892476969192861, 9.404613425722516, 11.152016047590301, 6.867946773319268]",9.99,28.56,0,0,6,0,False
AMD,"[20.131959042706203, 54.891079612950186, -61.706134186765524, -50.074003380407675, 445.533139057324, 11.386201537839618]",70.03,21.67,1,0,6,1,False
TSLA,"[54.85308993732061, 104.73353572375821, 10.51054645038873, -24.213052644807476, 13.483327130671519, 12.410921530803574]",28.63,16.67,0,0,6,0,False
CSX,"[-172.80135369897653, 121.2466733487425, 844.8947443821115, 44.2836143081059, -40.76318692331473, -1.7300866090151796]",132.52,10.0,0,0,6,0,False
PANW,"[-2.5516324636581786, 13.423361138253265, 15.09534010296428, -3.079354677022735, -16.87936195316001, -7.959544375141546]",-0.33,19.33,1,0,6,1,False
MNST,"[35.13656920232, 24.797994890337645, 162.1382387052953, -36.2248407873663, -118.42417653604454, 503.73614173002306]",95.19,21.67,1,0,6,1,False
CPRT,"[-30.83429352584656, 172.77793821601801, -93.50170066973953, -1185.1987486349901, -83.42248437350345, 55.29313162543702]",-194.15,6.67,0,0,6,0,False
DXCM,"[-82.85710953257737, 18.736821522138104, 29.36714748427447, -24.821725416950596, -40.44393892606531, 7.727707347824751]",-15.38,26.67,2,0,6,2,False
KDP,"[42.849734807619896, 25.97433256092018, -7.502820437194985, 3.332712887978633, -3.9269043747635886, -33.399330219692736]",4.55,18.33,1,0,6,1,False
ON,"[-12.889542989457944, 24.507594346250535, 1.2580460934708966, 18.28623376762781, -2.442664559501365, 4.011028119568363]",5.46,33.72,1,0,6,2,False
FAST,"[-15.252445971879473, 61.9628591364355, 13.023439659957154, 43.97255725856888, 18.719274011051628, 24.16546428810825]",24.43,33.33,2,2,6,2,False
TTD,"[-826.656000727716, 14.295153487739276, 20.766383671239826, -55.88513442010824, -192.2143501697401, -53.446787165306695]",-182.19,15.0,1,0,6,1,False
ARM,"[-15.285829235280982, 16.024334217123133, 12.295707442831551, 5.792448374810047, -11.931380011969276, 4.767284479951248]",1.94,25.83,1,0,6,1,False
DDOG,"[-53.656099445899194, 99.05085737769664, 133.83383314394405, 48.00464115715389, -1.7002080990924202, 6.852774784626861]",38.73,13.33,0,0,6,0,False
WBD,"[-53.0837418553023, -36.29170572226263, 74.34370473300093, -151.46540245503382, 99.3023483717937, 3507.0342998994333]",573.31,10.0,0,0,6,0,False
PLTR,"[5.525058504770967, 25.593360110055173, 6.73249880698073, -5.553420441535741, 10.421543035116764, 7.174140826925029]",8.32,30.4,1,0,6,1,False
CSGP,"[182.92509402427706, -171.60277216730336, 161.68386365603206, 378.45243485038156, 269.5845479333063, -43.71809955983018]",129.55,13.33,0,0,6,0,False
GFS,"[5.021717314307579, -0.07377447568461533, 0.6923454813456889, -0.2557248187452448, -4.638149096768578, -5.226218958220245]",-0.75,14.94,0,0,6,0,False
ZS,"[66.25344517294094, 51.335165806697525, 66.71801496612183, -8.451807920485342, -3.5643235602053536, 7.665166282731173]",29.99,13.33,0,0,6,0,False
MCHP,"[-102.1253792055577, 55.28723842237939, 40.30669678911745, 66.89726575521885, -38.546005857925465, -125.04280527596505]",-17.2,10.0,0,0,6,0,False
MRVL,"[-100.52825081040825, 65.26620726256438, 88.7593451895025, -3177.1056536607466, -13.358680794074973, -8.01799053148272]",-524.16,6.67,0,0,6,0,False
CRWD,"[24.09131154886498, 25.7769415021569, 16.790931910931338, 15.120819630773857, -4.740306916477528, 0.6176604930826655]",12.94,54.32,4,0,6,4,False
TEAM,"[-90.18839410871225, 80.97993347793194, -174.63166282360433, -45.02530979803555, -91.57086635266428, -119.86298335065231]",-73.38,3.33,0,0,6,0,False
KHC,"[-212.7137354058878, -100.19573927515877, 9.339619132582753, -34.73779679869608, 52.37883808926019, 76.1760265850494]",-34.96,10.0,0,0,6,0,False
INTC,"[-42.554625943785986, 22.806256769153308, -13.929008100854483, -10.89065379956422, -19.405919589574168, -5.216164950903836]",-11.53,11.99,1,0,6,1,False
TTWO,"[54.21133053179988, 83.36871344778223, 26.73089347538698, 16.649668438163815, -13.757800781941413, 7.750046012126835]",29.16,33.33,2,0,6,2,False
