ticker,date,price,volume,composite_score,score_category,longterm_score,shortterm_score,ma_alignment_score,longterm_contribution,shortterm_contribution,ma_contribution,meets_threshold,key_strengths,key_weaknesses,mom_current_streak,mom_avg_monthly_change,momentum_signal,acceleration_pattern,ma_alignment,recent_crossover,rank
KLAC,2025-09-05,905.09,1155200,57.24,weak,28.33,63.02,90.0,11.33,18.91,27.0,False,ma_alignment,longterm,1,67.79,deceleration,slowing_momentum,bullish,,23
TTWO,2025-09-05,239.68,979400,56.17,weak,33.33,72.8,70.0,13.33,21.84,21.0,False,none,longterm,0,29.16,momentum,moderate_acceleration,neutral,,24
FAST,2025-09-05,47.99,9382500,56.11,weak,33.33,52.6,90.0,13.33,15.78,27.0,False,ma_alignment,longterm;shortterm,2,24.43,deceleration,slowing_momentum,bullish,,25
MELI,2025-09-05,2417.49,493500,55.78,weak,18.33,91.5,70.0,7.33,27.45,21.0,False,shortterm,longterm,0,15.01,momentum,moderate_acceleration,neutral,,26
ROST,2025-09-05,150.95,2438400,55.73,weak,18.33,81.54,79.8,7.33,24.46,23.94,False,shortterm,longterm,0,-15.02,momentum,,neutral,,27
LIN,2025-09-05,469.52,1066200,55.39,weak,33.33,50.18,90.0,13.33,15.05,27.0,False,ma_alignment,longterm;shortterm,0,22.54,deceleration,,bullish,,28
TSLA,2025-09-05,350.84,108771700,55.32,weak,16.67,67.97,94.2,6.67,20.39,28.26,False,ma_alignment,longterm,0,28.63,momentum,,bullish,,29
VRSK,2025-09-05,270.31,1005000,55.07,weak,29.84,73.78,70.0,11.94,22.13,21.0,False,none,longterm,0,5.56,momentum,,neutral,,30
CSX,2025-09-05,32.53,9676400,55.0,weak,10.0,100.0,70.0,4.0,30.0,21.0,False,shortterm,longterm,0,132.52,momentum,moderate_acceleration,neutral,,31
PLTR,2025-09-05,153.11,81705900,54.89,weak,30.4,47.82,94.61,12.16,14.35,28.38,False,ma_alignment,longterm;shortterm,0,8.32,deceleration,slowing_momentum,bullish,,32
ISRG,2025-09-05,466.86,2623100,54.42,weak,29.27,92.37,50.0,11.71,27.71,15.0,False,shortterm,longterm;ma_alignment,0,1.37,momentum,,bearish,,33
TMUS,2025-09-05,252.76,3294200,54.29,weak,30.78,41.65,98.29,12.31,12.5,29.49,False,ma_alignment,longterm;shortterm,0,6.33,deceleration,,bullish,,34
PDD,2025-09-05,124.68,8490800,54.25,weak,10.0,97.51,70.0,4.0,29.25,21.0,False,shortterm,longterm,0,-6.59,momentum,,neutral,,35
FTNT,2025-09-05,78.83,10495200,54.0,weak,25.52,55.96,90.0,10.21,16.79,27.0,False,ma_alignment,longterm;shortterm,0,8.92,deceleration,slowing_momentum,bullish,,36
MSTR,2025-09-05,335.87,13968300,53.67,weak,21.67,100.0,50.0,8.67,30.0,15.0,False,shortterm,longterm;ma_alignment,1,123.39,momentum,moderate_acceleration,bearish,,37
ZS,2025-09-05,274.2,1620200,53.43,weak,13.33,82.59,77.75,5.33,24.78,23.32,False,shortterm,longterm,0,29.99,momentum,moderate_acceleration,neutral,,38
NVDA,2025-09-05,167.02,223991400,53.35,weak,24.31,46.8,98.63,9.72,14.04,29.59,False,ma_alignment,longterm;shortterm,0,5.33,deceleration,slowing_momentum,bullish,,39
HON,2025-09-05,214.25,4104600,53.33,weak,13.33,90.0,70.0,5.33,27.0,21.0,False,shortterm,longterm,0,486.88,deceleration,slowing_momentum,neutral,,40
MDLZ,2025-09-05,61.74,6149600,53.33,weak,13.33,90.0,70.0,5.33,27.0,21.0,False,shortterm,longterm,0,103.21,deceleration,slowing_momentum,neutral,,41
BKR,2025-09-05,45.58,4978400,53.26,weak,27.61,50.72,90.0,11.04,15.22,27.0,False,ma_alignment,longterm;shortterm,0,11.68,deceleration,slowing_momentum,bullish,,42
ADP,2025-09-05,295.97,1892500,52.83,weak,28.59,47.98,90.0,11.44,14.39,27.0,False,ma_alignment,longterm;shortterm,0,11.14,deceleration,slowing_momentum,bullish,,43
DASH,2025-09-05,246.85,2195400,52.34,weak,28.56,46.37,90.0,11.42,13.91,27.0,False,ma_alignment,longterm;shortterm,0,9.99,deceleration,slowing_momentum,bullish,,44
QCOM,2025-09-05,159.84,7951600,52.0,weak,10.0,90.0,70.0,4.0,27.0,21.0,False,shortterm,longterm,0,11.99,deceleration,slowing_momentum,neutral,golden,45
DDOG,2025-09-05,136.08,4850500,51.8,weak,13.33,84.89,70.0,5.33,25.47,21.0,False,shortterm,longterm,0,38.73,momentum,,neutral,death,46
AXON,2025-09-05,728.41,398100,51.78,weak,23.42,47.02,94.35,9.37,14.11,28.3,False,ma_alignment,longterm;shortterm,0,8.44,neutral,,bullish,,47
PAYX,2025-09-05,135.44,1898300,51.35,weak,18.33,76.74,70.0,7.33,23.02,21.0,False,none,longterm,0,18.59,acceleration,moderate_acceleration,neutral,death,48
AAPL,2025-09-05,239.69,54837300,51.1,weak,30.0,90.0,40.32,12.0,27.0,12.1,False,shortterm,longterm;ma_alignment,0,11.12,deceleration,slowing_momentum,bearish,,49
CSCO,2025-09-05,66.9,21048200,50.99,weak,28.19,42.39,90.0,11.28,12.72,27.0,False,ma_alignment,longterm;shortterm,0,11.7,neutral,,bullish,,50
ROP,2025-09-05,518.44,700600,50.89,weak,40.98,45.0,70.0,16.39,13.5,21.0,False,none,longterm;shortterm,0,9.74,neutral,,neutral,,51
AEP,2025-09-05,108.11,3664400,49.64,weak,29.47,36.19,90.0,11.79,10.86,27.0,False,ma_alignment,longterm;shortterm,0,7.15,neutral,,bullish,,52
ABNB,2025-09-05,123.81,4326500,49.28,weak,18.33,47.39,92.42,7.33,14.22,27.73,False,ma_alignment,longterm;shortterm,1,11.59,deceleration,,bullish,golden,53
CTAS,2025-09-05,204.5,1413700,49.26,weak,10.0,72.09,78.79,4.0,21.63,23.64,False,none,longterm,0,10.8,acceleration,moderate_acceleration,neutral,death,54
EXC,2025-09-05,43.43,4422600,49.17,weak,27.36,37.42,90.0,10.94,11.23,27.0,False,ma_alignment,longterm;shortterm,0,4.16,neutral,,bullish,,55
AMZN,2025-09-05,232.33,36694400,49.15,weak,30.17,59.49,64.11,12.07,17.85,19.23,False,none,longterm;shortterm,1,6.47,deceleration,slowing_momentum,neutral,,56
MAR,2025-09-05,264.7,1378600,48.68,weak,30.87,51.11,70.0,12.35,15.33,21.0,False,none,longterm;shortterm,0,3.96,neutral,moderate_acceleration,neutral,,57
CCEP,2025-09-05,88.88,1999200,48.42,weak,25.0,38.06,90.0,10.0,11.42,27.0,False,ma_alignment,longterm;shortterm,0,7.24,neutral,,bullish,,58
MRVL,2025-09-05,63.33,25749700,47.67,weak,6.67,100.0,50.0,2.67,30.0,15.0,False,shortterm,longterm;ma_alignment,0,-524.16,acceleration,strong_acceleration,bearish,,59
AMGN,2025-09-05,283.64,2299400,47.18,weak,13.33,49.51,90.0,5.33,14.85,27.0,False,ma_alignment,longterm;shortterm,0,31.44,neutral,moderate_acceleration,bullish,,60
TTD,2025-09-05,52.07,11324300,47.03,weak,15.0,86.77,50.0,6.0,26.03,15.0,False,shortterm,longterm;ma_alignment,0,-182.19,momentum,,bearish,,61
META,2025-09-05,752.45,9657600,46.4,weak,35.0,57.99,50.0,14.0,17.4,15.0,False,none,longterm;shortterm;ma_alignment,1,0.65,deceleration,,bearish,,62
TEAM,2025-09-05,172.43,2352200,46.33,weak,3.33,100.0,50.0,1.33,30.0,15.0,False,shortterm,longterm;ma_alignment,0,-73.38,momentum,,bearish,,63
AMD,2025-09-05,151.14,77964300,46.13,weak,21.67,34.86,90.0,8.67,10.46,27.0,False,ma_alignment,longterm;shortterm,0,70.03,neutral,,bullish,,64
SBUX,2025-09-05,85.43,9040200,45.67,weak,29.95,42.29,70.0,11.98,12.69,21.0,False,none,longterm;shortterm,0,4.69,neutral,,neutral,,65
MSFT,2025-09-05,495.0,31971700,45.1,weak,25.38,46.51,70.0,10.15,13.95,21.0,False,none,longterm;shortterm,0,5.36,neutral,moderate_acceleration,neutral,,66
GILD,2025-09-05,115.05,6953900,44.59,weak,23.87,51.72,65.08,9.55,15.52,19.52,False,none,longterm;shortterm,0,6.13,neutral,,neutral,death,67
ON,2025-09-05,49.11,7219400,44.15,weak,33.72,32.2,70.0,13.49,9.66,21.0,False,none,longterm;shortterm,0,5.46,neutral,,neutral,,68
ARM,2025-09-05,138.17,2815600,43.78,weak,25.83,48.05,63.45,10.33,14.42,19.04,False,none,longterm;shortterm,0,1.94,deceleration,slowing_momentum,neutral,,69
PANW,2025-09-05,194.46,5667400,43.77,weak,19.33,70.14,50.0,7.73,21.04,15.0,False,none,longterm;ma_alignment,0,-0.33,momentum,moderate_acceleration,bearish,,70
AVGO,2025-09-05,334.89,78335000,41.61,weak,13.33,30.92,90.0,5.33,9.28,27.0,False,ma_alignment,longterm;shortterm,0,65.01,deceleration,,bullish,,71
MU,2025-09-05,131.37,28381100,41.5,weak,25.0,15.0,90.0,10.0,4.5,27.0,False,ma_alignment,longterm;shortterm,0,224.85,acceleration,moderate_acceleration,bullish,,72
REGN,2025-09-05,573.38,960100,40.82,weak,3.33,81.64,50.0,1.33,24.49,15.0,False,shortterm,longterm;ma_alignment,0,-13.45,momentum,,bearish,,73
ASML,2025-09-05,781.7,1885900,40.33,weak,33.33,0.0,90.0,13.33,0.0,27.0,False,ma_alignment,longterm;shortterm,0,24.91,deceleration,negative_acceleration,bullish,,74
TRI,2025-09-05,174.64,1008400,40.14,weak,10.0,70.45,50.0,4.0,21.14,15.0,False,none,longterm;ma_alignment,0,1.7,momentum,,bearish,,75
COST,2025-09-05,963.48,1926800,40.1,weak,30.36,50.37,42.8,12.14,15.11,12.84,False,none,longterm;shortterm;ma_alignment,0,1.99,neutral,moderate_acceleration,bearish,,76
PCAR,2025-09-05,99.05,2084000,39.06,weak,10.82,53.65,62.13,4.33,16.1,18.64,False,none,longterm;shortterm,0,1.31,deceleration,,neutral,,77
CHTR,2025-09-05,261.5,2245900,39.02,weak,18.33,55.64,50.0,7.33,16.69,15.0,False,none,longterm;shortterm;ma_alignment,0,-27.75,neutral,,bearish,,78
PEP,2025-09-05,146.39,7185800,37.67,weak,26.67,0.0,90.0,10.67,0.0,27.0,False,ma_alignment,longterm;shortterm,2,95.99,deceleration,,bullish,,79
LULU,2025-09-05,167.8,36736100,36.88,weak,18.33,48.48,50.0,7.33,14.54,15.0,False,none,longterm;shortterm;ma_alignment,0,-15.86,neutral,,bearish,,80
MNST,2025-09-05,62.46,3338600,35.67,weak,21.67,0.0,90.0,8.67,0.0,27.0,False,ma_alignment,longterm;shortterm,0,95.19,neutral,,bullish,,81
CSGP,2025-09-05,89.46,1666500,35.46,weak,13.33,30.42,70.0,5.33,9.13,21.0,False,none,longterm;shortterm,0,129.55,neutral,,neutral,death,82
GFS,2025-09-05,33.29,2240200,35.42,weak,14.94,40.92,57.21,5.98,12.28,17.16,False,none,longterm;shortterm;ma_alignment,0,-0.75,neutral,,bearish,,83
WDAY,2025-09-05,231.08,3525300,34.33,weak,18.33,0.0,90.0,7.33,0.0,27.0,False,ma_alignment,longterm;shortterm,0,10.61,deceleration,negative_acceleration,bullish,,84
VRTX,2025-09-05,396.12,1171100,34.07,weak,10.0,50.24,50.0,4.0,15.07,15.0,False,none,longterm;shortterm;ma_alignment,0,-0.32,neutral,moderate_acceleration,bearish,,85
BIIB,2025-09-05,140.67,1561800,33.19,weak,3.33,52.75,53.45,1.33,15.82,16.04,False,none,longterm;shortterm;ma_alignment,0,-12.06,neutral,,bearish,,86
DXCM,2025-09-05,80.51,2718200,32.66,weak,26.67,23.31,50.0,10.67,6.99,15.0,False,none,longterm;shortterm;ma_alignment,0,-15.38,neutral,,bearish,,87
INTC,2025-09-05,24.49,55708400,32.09,weak,11.99,40.98,50.0,4.8,12.29,15.0,False,none,longterm;shortterm;ma_alignment,0,-11.53,neutral,,bearish,,88
CEG,2025-09-05,301.58,2820700,31.19,weak,10.0,44.18,46.47,4.0,13.25,13.94,False,none,longterm;shortterm;ma_alignment,0,3.99,neutral,,bearish,,89
WBD,2025-09-05,12.11,63863500,31.0,weak,10.0,0.0,90.0,4.0,0.0,27.0,False,ma_alignment,longterm;shortterm,0,573.31,neutral,,bullish,,90
KHC,2025-09-05,27.29,14753400,31.0,weak,10.0,0.0,90.0,4.0,0.0,27.0,False,ma_alignment,longterm;shortterm,0,-34.96,neutral,,bullish,,91
KDP,2025-09-05,28.65,21095200,30.29,weak,18.33,6.54,70.0,7.33,1.96,21.0,False,none,longterm;shortterm,0,4.55,neutral,,neutral,death,92
ODFL,2025-09-05,150.71,1891300,29.77,weak,30.0,9.22,50.0,12.0,2.77,15.0,False,none,longterm;shortterm;ma_alignment,1,-43.86,neutral,,bearish,,93
CDW,2025-09-05,169.73,1439000,28.14,weak,26.67,8.23,50.0,10.67,2.47,15.0,False,none,longterm;shortterm;ma_alignment,1,-11.33,neutral,,bearish,,94
CTSH,2025-09-05,71.82,3981900,26.45,weak,26.67,2.61,50.0,10.67,0.78,15.0,False,none,longterm;shortterm;ma_alignment,1,-64.72,neutral,,bearish,,95
FANG,2025-09-05,138.71,1994000,26.33,weak,13.33,0.0,70.0,5.33,0.0,21.0,False,none,longterm;shortterm,0,39.68,neutral,,neutral,golden,96
MCHP,2025-09-05,65.92,7765200,25.0,weak,10.0,0.0,70.0,4.0,0.0,21.0,False,none,longterm;shortterm,0,-17.2,deceleration,,neutral,,97
CMCSA,2025-09-05,33.91,21111300,24.26,weak,18.33,6.43,50.0,7.33,1.93,15.0,False,none,longterm;shortterm;ma_alignment,1,-36.81,neutral,,bearish,,98
CPRT,2025-09-05,48.57,17581600,23.67,weak,6.67,0.0,70.0,2.67,0.0,21.0,False,none,longterm;shortterm,0,-194.15,neutral,,neutral,golden,99
ADBE,2025-09-05,348.97,4661700,22.12,weak,15.0,3.73,50.0,6.0,1.12,15.0,False,none,longterm;shortterm;ma_alignment,0,-13.03,neutral,,bearish,,100
GEHC,2025-09-05,75.73,3009500,17.67,weak,6.67,0.0,50.0,2.67,0.0,15.0,False,none,longterm;shortterm;ma_alignment,0,-16.76,deceleration,negative_acceleration,bearish,,101
