Date,Open,,Date,High,,Date,Low,,Date,Close,,Date,Volume
Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),988.21,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),993.87,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),974.27,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),993.87,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),67158357
Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),998.25,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1004.67,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),988.91,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),995.97,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),65672468
Fri May 03 2024 12:00:00 GMT-0400 (Eastern Daylight Time),996.87,,Fri May 03 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1000.8,,Fri May 03 2024 12:00:00 GMT-0400 (Eastern Daylight Time),970.59,,Fri May 03 2024 12:00:00 GMT-0400 (Eastern Daylight Time),990.98,,Fri May 03 2024 12:00:00 GMT-0400 (Eastern Daylight Time),81147290
Fri May 10 2024 12:00:00 GMT-0400 (Eastern Daylight Time),993.75,,Fri May 10 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1018.59,,Fri May 10 2024 12:00:00 GMT-0400 (Eastern Daylight Time),992.23,,Fri May 10 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1017.82,,Fri May 10 2024 12:00:00 GMT-0400 (Eastern Daylight Time),69625804
Fri May 17 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1018.57,,Fri May 17 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1023.52,,Fri May 17 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1007.42,,Fri May 17 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1013.45,,Fri May 17 2024 12:00:00 GMT-0400 (Eastern Daylight Time),78291896
Fri May 24 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1013.79,,Fri May 24 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1016.55,,Fri May 24 2024 12:00:00 GMT-0400 (Eastern Daylight Time),985.01,,Fri May 24 2024 12:00:00 GMT-0400 (Eastern Daylight Time),991.41,,Fri May 24 2024 12:00:00 GMT-0400 (Eastern Daylight Time),72374889
Fri May 31 2024 12:00:00 GMT-0400 (Eastern Daylight Time),989.87,,Fri May 31 2024 12:00:00 GMT-0400 (Eastern Daylight Time),991.7,,Fri May 31 2024 12:00:00 GMT-0400 (Eastern Daylight Time),967.53,,Fri May 31 2024 12:00:00 GMT-0400 (Eastern Daylight Time),980.99,,Fri May 31 2024 12:00:00 GMT-0400 (Eastern Daylight Time),69554042
Fri Jun 07 2024 12:00:00 GMT-0400 (Eastern Daylight Time),975.96,,Fri Jun 07 2024 12:00:00 GMT-0400 (Eastern Daylight Time),982.47,,Fri Jun 07 2024 12:00:00 GMT-0400 (Eastern Daylight Time),969.45,,Fri Jun 07 2024 12:00:00 GMT-0400 (Eastern Daylight Time),974.88,,Fri Jun 07 2024 12:00:00 GMT-0400 (Eastern Daylight Time),68052084
Fri Jun 14 2024 12:00:00 GMT-0400 (Eastern Daylight Time),972.12,,Fri Jun 14 2024 12:00:00 GMT-0400 (Eastern Daylight Time),981.99,,Fri Jun 14 2024 12:00:00 GMT-0400 (Eastern Daylight Time),958.88,,Fri Jun 14 2024 12:00:00 GMT-0400 (Eastern Daylight Time),964.97,,Fri Jun 14 2024 12:00:00 GMT-0400 (Eastern Daylight Time),66563058
Fri Jun 21 2024 12:00:00 GMT-0400 (Eastern Daylight Time),967.38,,Fri Jun 21 2024 12:00:00 GMT-0400 (Eastern Daylight Time),996.41,,Fri Jun 21 2024 12:00:00 GMT-0400 (Eastern Daylight Time),967.38,,Fri Jun 21 2024 12:00:00 GMT-0400 (Eastern Daylight Time),977.29,,Fri Jun 21 2024 12:00:00 GMT-0400 (Eastern Daylight Time),108264791
Fri Jun 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),977.68,,Fri Jun 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),995.61,,Fri Jun 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),970.39,,Fri Jun 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),973.92,,Fri Jun 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),105506021
Fri Jul 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),976.11,,Fri Jul 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),978.62,,Fri Jul 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),961.22,,Fri Jul 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),968.34,,Fri Jul 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),57508054
Fri Jul 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),972.25,,Fri Jul 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),988.91,,Fri Jul 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),954.7,,Fri Jul 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),983.64,,Fri Jul 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),67267449
Fri Jul 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),982.2,,Fri Jul 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1016.7,,Fri Jul 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),981.88,,Fri Jul 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1003.02,,Fri Jul 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),65821039
Fri Jul 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1003.77,,Fri Jul 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1024.92,,Fri Jul 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),983.01,,Fri Jul 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1010.57,,Fri Jul 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),68943425
Fri Aug 02 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1006.93,,Fri Aug 02 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1049.65,,Fri Aug 02 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1002.92,,Fri Aug 02 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1030.26,,Fri Aug 02 2024 12:00:00 GMT-0400 (Eastern Daylight Time),84473674
Fri Aug 09 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1015.38,,Fri Aug 09 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1027.63,,Fri Aug 09 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1003.61,,Fri Aug 09 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1016.85,,Fri Aug 09 2024 12:00:00 GMT-0400 (Eastern Daylight Time),71288392
Fri Aug 16 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1016.54,,Fri Aug 16 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1046.05,,Fri Aug 16 2024 12:00:00 GMT-0400 (Eastern Daylight Time),999.87,,Fri Aug 16 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1045.09,,Fri Aug 16 2024 12:00:00 GMT-0400 (Eastern Daylight Time),71601609
Fri Aug 23 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1043.43,,Fri Aug 23 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1048.24,,Fri Aug 23 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1033.3,,Fri Aug 23 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1040.56,,Fri Aug 23 2024 12:00:00 GMT-0400 (Eastern Daylight Time),66355055
Fri Aug 30 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1044.67,,Fri Aug 30 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1052.23,,Fri Aug 30 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1038.48,,Fri Aug 30 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1049.86,,Fri Aug 30 2024 12:00:00 GMT-0400 (Eastern Daylight Time),67199048
Fri Sep 06 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1047.87,,Fri Sep 06 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1055.25,,Fri Sep 06 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1034.89,,Fri Sep 06 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1035.05,,Fri Sep 06 2024 12:00:00 GMT-0400 (Eastern Daylight Time),69907852
Fri Sep 13 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1035.48,,Fri Sep 13 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1062.93,,Fri Sep 13 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1012.93,,Fri Sep 13 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1060.52,,Fri Sep 13 2024 12:00:00 GMT-0400 (Eastern Daylight Time),89848299
Fri Sep 20 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1066.12,,Fri Sep 20 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1078.82,,Fri Sep 20 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1045.67,,Fri Sep 20 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1057.65,,Fri Sep 20 2024 12:00:00 GMT-0400 (Eastern Daylight Time),102659583
Fri Sep 27 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1057.17,,Fri Sep 27 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1079.91,,Fri Sep 27 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1053.49,,Fri Sep 27 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1071.15,,Fri Sep 27 2024 12:00:00 GMT-0400 (Eastern Daylight Time),93487372
