ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
XEL,weekly,2025-02-24,Long,72.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,70.9115,2.4940,189,62.8681,66.8898,64.8790,True,19177000,27.4940,1.5244,2.1970,2.4940
XLB,weekly,2025-06-02,Long,91.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,87.3351,5.2956,91,79.0100,83.1726,81.0913,True,25385300,30.2956,0.8954,1.0359,5.2956
XLC,weekly,2025-05-26,Long,114.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,101.1545,13.3810,98,89.3938,95.6532,92.5235,True,27295800,35.0000,0.2294,0.2273,13.3810
XLE,weekly,2025-07-07,Long,87.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,89.1300,-1.9859,56,77.4534,83.2917,80.3725,True,68029400,25.0000,2.6300,3.0405,-1.9859
XLF,weekly,2025-05-12,Long,53.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,51.4138,3.2213,112,44.1164,47.7651,45.9408,True,166244400,28.2213,0.4784,0.9391,3.2213
XLI,weekly,2025-05-12,Long,150.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,143.3437,5.2924,112,121.8759,132.6098,127.2429,True,48764000,30.2924,3.4595,2.4731,5.2924
XLK,weekly,2025-05-12,Long,262.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,234.5013,12.0932,112,185.3415,209.9214,197.6314,True,48394300,35.0000,8.0467,3.5533,12.0932
XLP,weekly,2025-02-17,Long,80.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,81.1900,-0.3942,196,75.0539,78.1220,76.5879,True,64760200,25.0000,1.8080,2.2775,-0.3942
XLRE,weekly,2025-07-21,Long,42.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,42.7900,-1.4256,42,39.4191,41.1045,40.2618,True,25161600,25.0000,0.7350,1.7477,-1.4256
XLU,weekly,2025-06-30,Long,83.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,81.8400,1.9917,63,75.4077,78.6239,77.0158,True,43645700,26.9917,0.9000,1.1119,1.9917
XLV,weekly,2025-03-31,Short,137.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,134.6373,2.4233,154,151.1703,142.9038,147.0370,False,52353500,25.0000,8.4696,-5.9183,2.4233
XLY,weekly,2025-06-16,Long,235.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,210.2330,11.8331,77,184.5364,204.3599,194.4482,True,42101900,35.0000,2.7242,-1.2792,11.8331
ZS,weekly,2025-05-05,Long,274.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,233.0600,17.6521,119,180.0421,206.5511,193.2966,True,15311300,35.0000,4.4000,1.9243,17.6521
