ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,monthly,2025-06-30,Long,239.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.3079,12.3681,67,180.5731,196.9405,188.7568,True,54870397,35.0000,11.5269,5.7126,12.3681
ABNB,monthly,2025-09-01,Long,123.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,123.8100,0.0000,4,130.9404,132.0726,131.5065,False,4327197,27.0000,4.6100,-3.5898,0.0000
ADBE,monthly,2025-09-01,Long,348.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,348.9700,0.0000,4,365.0321,373.8655,369.4488,False,4610316,27.0000,1.2700,-0.3626,0.0000
ADI,monthly,2025-05-12,Long,247.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,226.0807,9.2840,116,168.1723,197.1265,182.6494,True,2166082,34.2840,4.2208,1.9025,9.2840
ADP,monthly,2025-08-27,Short,295.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,303.0900,-2.3491,9,317.7618,307.7759,312.7688,False,1892499,28.3491,0.5600,0.1851,-2.3491
ADSK,monthly,2025-08-29,Long,326.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,314.7000,3.7083,7,244.7952,279.7476,262.2714,True,1632170,31.7083,3.3000,-1.0377,3.7083
AEP,monthly,2025-09-01,Short,108.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,108.1100,0.0000,4,117.2905,112.7002,114.9954,False,3664507,32.0000,2.8500,-2.5685,0.0000
AMAT,monthly,2025-08-11,Short,162.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,161.7600,0.6120,25,225.2252,193.4926,209.3589,False,7032767,25.0000,25.3900,-13.5667,0.6120
AMD,monthly,2025-09-01,Short,151.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,151.1400,0.0000,4,183.9687,167.5543,175.7615,False,78255950,32.0000,7.2800,-4.5954,0.0000
AMGN,monthly,2025-08-29,Short,283.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,287.7100,-1.4146,7,303.2062,295.4581,299.3322,False,2299366,29.4146,1.9100,0.6683,-1.4146
