ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,SP500,NASDAQ100,DowJonesIndustrialAverage,NASDAQComposite,PHLXSemiconductorSector,SP500InformationTechnology,SP100,NasdaqUSLargeCapGrowth,Russell3000,DowJonesCompositeAverage,NASDAQ100TechnologySector,Russell1000,NASDAQComputer,SP500ESG,NASDAQCBInsightsMetaverseUSIndex,ISECTACloudComputing,NYSEArcaMajorMarket,SP500CommunicationServices,SP500ConsumerDiscretionary,NASDAQIndustrials,NASDAQCleanEdgeGreenEnergy,SP500Financials,KBWNASDAQBank,SP500ConsumerStaples,SP500HealthCare,KBWNASDAQFinancialTechnologyIndex,SP500Energy,NASDAQGoldenDragonChina,SP500Industrials,NASDAQTelecommunications,NASDAQBiotechnology,NasdaqUSMidCapGrowth,NASDAQRealEstateandOtherFinancialServices,SP500Utilities,DowJonesUtilityAverage,PHLXUtilitiesSector,MainIndex,filter_applied,universe_name,generation_source,generation_date
NVDA,NVIDIA Corporation,4435188104248.0,USD,Electronic technology,Semiconductors,NASDAQ,Strong buy,2025-08-27,2025-05-28,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
MSFT,Microsoft Corporation,3731746975137.0,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-10-28,2025-07-30,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index",True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
AAPL,Apple Inc.,3403049714052.0,USD,Electronic technology,Telecommunications equipment,NASDAQ,Buy,2025-10-23,2025-07-31,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
AMZN,"Amazon.com, Inc.",2439172120138.0,USD,Retail trade,Internet retail,NASDAQ,Strong buy,2025-10-23,2025-07-31,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
JPM,JP Morgan Chase & Co.,820993971036.0,USD,Finance,Major banks,NYSE,Buy,2025-10-14,2025-07-15,"S&P 500, Dow Jones Industrial Average, S&P 100, KBW NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",True,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
WMT,Walmart Inc.,766519170253.0,USD,Retail trade,Specialty stores,NYSE,Strong buy,2025-11-20,2025-08-21,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index",True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
V,Visa Inc.,676583677317.0,USD,Finance,Finance/Rental/Leasing,NYSE,Buy,2025-10-28,2025-07-29,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",True,False,True,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
JNJ,Johnson & Johnson,425047739899.0,USD,Health technology,Pharmaceuticals: major,NYSE,Buy,2025-10-21,2025-07-16,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
HD,"Home Depot, Inc. (The)",405472956866.0,USD,Retail trade,Home improvement chains,NYSE,Buy,2025-11-18,2025-08-19,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Discretionary, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
PG,Procter & Gamble Company (The),365339698509.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-10-15,2025-07-29,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,DowJonesIndustrialAverage,ticker_universe_DowJonesIndustrialAverage,simple_universe_generator,2025-09-15T20:43:16.132788
