ticker,screen_type,signal_type,signal_date,current_price,signal_price,sma,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
LULU,pvb,Sell,2025-09-05,167.8000030517578,167.8000030517578,212.97119964599608,36736100.0,15476700.0,0,-21.21000241784923,137.36390832671046,137.36390832671046,259.83112989314424,2.660003662109375,1.6107567348556704,0.0
NTRS,pvb,Buy,2025-06-23,127.2699966430664,120.80999755859376,101.19165313720703,15633400.0,3646800.0,74,25.771239719247816,-66.50762312164089,328.688164966546,246.59903555739496,1.8099975585937642,1.5210063517594659,5.3472388171678364
LLY,pvb,Sell,2025-08-07,727.2100219726562,639.4554443359375,772.3025061035156,26101600.0,9176100.0,29,-5.838707472071237,-56.90979828031517,184.4520003051405,176.34298283488835,34.7237183873018,-5.150517890087388,13.72332950075204
AFRM,pvb,Buy,2025-08-29,87.3499984741211,88.45999908447266,71.05120010375977,43192900.0,19333200.0,7,22.939511713467663,-52.08294539962345,123.41309250408625,119.8414921107494,3.5400009155273438,-3.8478270820949385,-1.2548051343428064
AVGO,pvb,Buy,2025-09-05,334.8900146484375,334.8900146484375,291.4376013183594,78335000.0,42134900.0,0,14.90967985377143,85.91476424531683,85.91476424531683,106.96881069723375,20.889984130859375,-5.871601608447411,0.0
ISRG,pvb,Sell,2025-09-03,466.8599853515625,441.1799926757813,497.4949981689453,5051700.0,4806200.0,2,-6.157853431720206,-45.42257916857393,5.107985518705016,66.60271757257478,28.929992675781193,-6.153877513183743,5.820751870462349
C,pvb,Buy,2025-07-15,95.4000015258789,90.12725830078124,78.0594206237793,39270900.0,21922600.0,52,22.21459083801749,-22.366872542490402,79.13431800972512,65.3727568879787,2.056474808946362,2.335024996271345,5.850331325403211
ANET,pvb,Buy,2025-08-06,142.85000610351562,138.77999877929688,103.31919982910156,25997100.0,18552800.0,30,38.26085213571269,-48.44390065111466,40.12494070975809,49.520335105486176,4.9900054931640625,3.7297299824898573,2.9327045395722484
META,pvb,Buy,2025-07-31,752.4500122070312,773.4400024414062,696.5676403808594,38831100.0,27077300.0,36,8.022533432017775,-64.33322377046456,43.40831619105303,42.166670119815706,1.760009765625,-0.22703943987489997,-2.713848542630189
ITB,pvb,Buy,2025-07-01,116.6999969482422,97.12999725341795,91.24814331054688,7792500.0,6046700.0,66,27.893009889608877,-54.199811467411976,28.871946681661065,25.032811380319647,4.549995422363281,4.914663353178989,20.148255171638635
VOX,pvb,Buy,2025-07-24,185.8000030517578,173.86000061035156,164.7365689086914,1064800.0,854000.0,43,12.786131386978973,-82.06088992974239,24.68384074941452,21.284385645698965,1.649993896484375,-0.9401139240649394,6.867595996485547
APP,pvb,Buy,2025-08-07,490.239990234375,437.3399963378906,367.34380126953124,20738700.0,18537800.0,29,33.4553594044918,-56.09187713752441,11.872498354713068,18.03575614707904,40.089996337890625,10.091880764730178,12.095850903061157
AAPL,pvb,Buy,2025-08-08,239.69000244140625,229.0900115966797,206.43371704101563,113854000.0,108483100.0,28,16.109909697446877,-49.45083612101793,4.950909404321968,15.853913127968058,8.510345871544843,3.8581733468349784,4.626998257518179
PDD,pvb,Buy,2025-08-22,124.68000030517578,127.11000061035156,110.32759979248047,20172300.0,18974900.0,14,13.008894002671422,-55.25246509863029,6.310441688757251,15.661450296427327,0.37000274658203125,-0.29024375340346814,-1.9117302285481128
SPGI,pvb,Buy,2025-07-31,538.0599975585938,550.1409912109375,518.8590130615235,2494700.0,2251700.0,36,3.700616933254186,-59.1286583470267,10.79184616067861,15.450550114679162,15.942180913518882,2.9843160647705242,-2.1959813657498577
