ticker,screen_type,signal_type,signal_date,current_price,signal_price,sma,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
LIT,pvb,Buy,2025-07-14,50.560001373291016,40.54999923706055,37.7904167175293,1060100.0,370600.0,53,33.79053676811792,43.79384781435509,186.04964921748515,135.45003668190378,0.25,0.6203474062850499,24.685579098807622
REM,pvb,Buy,2025-09-05,23.57999992370605,23.57999992370605,22.139599876403807,1349800.0,746000.0,0,6.505989518073485,80.93833780160857,80.93833780160857,89.41434477988604,0.10000038146972301,0.4258960111555376,0.0
PSJ,pvb,Buy,2025-06-09,51.560001373291016,46.893028259277344,41.912031173706055,347338.0,179101.0,88,23.01957201644218,-75.34631297424359,93.93414888805758,72.99337116879792,0.1399487392116967,0.29933587401795214,9.952381595424807
RING,pvb,Buy,2025-09-03,56.93999862670898,55.83000183105469,46.97279975891113,2116500.0,1380900.0,2,21.219086192338345,-67.54290679991311,53.26960677818813,59.87839387406689,0.6399993896484375,-1.133344033670394,1.988172594035039
SLVP,pvb,Buy,2025-09-02,23.31999969482422,22.71999931335449,18.941400032043457,757600.0,529200.0,3,23.11655767458276,-44.31216931216932,43.15948601662887,56.40453629793731,0.27999877929687145,1.2477663664575762,2.640846829238496
ITA,pvb,Buy,2025-05-28,198.1300048828125,175.33250427246094,157.20662109375,1285600.0,1138200.0,100,26.031590466318775,-45.19416622737656,12.950272359866455,16.24090755160501,0.3696419969519411,-0.21037989848180375,13.002438255786844
XHB,pvb,Buy,2025-07-01,119.36000061035156,102.66000366210938,95.93777221679687,6636800.0,5925300.0,66,24.413979866684787,-53.12304862201069,12.007830827131105,13.944593025239756,4.670005798339858,4.765798448972648,16.267286530797158
IBB,pvb,Buy,2025-09-05,143.1199951171875,143.1199951171875,134.04039962768556,3304600.0,3170400.0,0,6.773775305595686,4.232904365379753,4.232904365379753,12.612538839806664,2.470001220703125,1.7561331872655448,0.0
PPA,pvb,Buy,2025-07-17,147.4499969482422,146.80999755859375,135.45621856689453,388900.0,367300.0,50,8.85435789381981,-47.100462836918055,5.880751429349296,11.157001372195394,0.959991455078125,0.6582046039797766,0.4359371979370857
KRE,pvb,Buy,2025-08-22,65.44999694824219,64.83999633789062,60.80975151062012,29433300.0,28311700.0,14,7.6307587555454415,-33.1961697813978,3.961613043370771,8.918303863192724,2.829998016357422,4.56377696010144,0.9407782924180945
XBI,pvb,Close Sell,2025-06-06,95.47000122070312,84.25283813476562,78.90989212036133,10003500.0,36123800.0,91,20.986100291561204,-63.56308029609288,-72.3077306374191,0.0,1.0399124919824345,1.24970067324225,13.313691662226523
