ticker,signal_date,signal_type,volume,price,volume_mean_50d,volume_std_50d,volume_threshold,std_deviations_above_mean,volume_vs_avg_ratio,volume_excess_shares,volume_excess_pct,threshold_confidence,anomaly_strength,detection_method,volume_vs_avg,price_vs_high,volume_percentile,volume_surge_ratio
BKNG,2024-03-15,Volume 3.0σ Spike,771100,3379.865234375,292136.0,145083.83608754474,727387.5082626343,3.3012912597030404,2.6395240572883862,43712.49173736572,6.009519168369147,99.7%,Strong,statistical,,,,
BKNG,2024-06-21,Volume 3.0σ Spike,498200,3958.3291015625,227066.0,90175.7413643616,497593.2240930848,3.006728815285959,2.194075731285177,606.7759069151944,0.1219421562705373,99.7%,Strong,statistical,,,,
BKNG,2024-07-25,Volume 3.0σ Spike,482500,3631.6484375,208714.0,76338.43820080918,437729.31460242753,3.586476308040291,2.311775923033433,44770.685397572466,10.227938569349858,99.7%,Very Strong,statistical,,,,
BKNG,2024-08-01,Volume 3.0σ Spike,551900,3635.915283203125,220784.0,93725.92122888989,501961.76368666964,3.5328113680672737,2.499728241176897,49938.23631333036,9.948613604860626,99.7%,Very Strong,statistical,,,,
BKNG,2024-08-02,Volume 3.0σ Spike,801500,3302.45751953125,232334.0,124621.34257216855,606198.0277165056,4.567163121921869,3.449774893041914,195301.97228349443,32.21752024155864,99.7%,Extreme,statistical,,,,
BKNG,2024-08-05,Volume 3.0σ Spike,665200,3357.3310546875,241572.0,138744.84294883884,657806.5288465165,3.053288259198288,2.7536303876277053,7393.471153483493,1.1239583113363387,99.7%,Strong,statistical,,,,
BKNG,2024-10-31,Volume 3.0σ Spike,514000,4650.939453125,204358.0,74645.10342484705,428293.31027454115,4.148189041117059,2.5151939243875945,85706.68972545885,20.011213733532244,99.7%,Extreme,statistical,,,,
BKNG,2024-11-01,Volume 3.0σ Spike,519700,4723.4052734375,211274.0,86796.03303734798,471662.099112044,3.5534573321719156,2.459838882209832,48037.90088795603,10.184812597491442,99.7%,Very Strong,statistical,,,,
BKNG,2025-02-21,Volume 3.0σ Spike,724500,4971.8544921875,252028.0,112582.07534859143,589774.2260457743,4.196689380055129,2.8746805910454394,134725.7739542257,22.843618456763352,99.7%,Extreme,statistical,,,,
BKNG,2024-02-22,Price-Volume Breakout,474000,3853.138671875,,,,,,,,,,breakout,1.8910831837223219,0.014885227283884861,,
BKNG,2024-05-09,Price-Volume Breakout,437000,3742.2578125,,,,,,,,,,breakout,1.817954904734171,0.008489430563464184,,
BKNG,2024-10-30,Price-Volume Breakout,320700,4439.76904296875,,,,,,,,,,breakout,1.6979933287446392,0.00519284299489553,,
BKNG,2024-10-31,Price-Volume Breakout,514000,4650.939453125,,,,,,,,,,breakout,2.621780158122928,0.044299957433557635,,
BKNG,2024-11-05,Price-Volume Breakout,385200,4888.376953125,,,,,,,,,,breakout,1.9029113423791333,0.012020661142508215,,
BKNG,2025-04-30,Price-Volume Breakout,458000,5090.4921875,,,,,,,,,,breakout,1.4877536435887995,0.03431154686704074,,
BKNG,2025-02-21,Absolute Volume Spike,724500,4971.8544921875,,,,,,,,,,absolute,,,154.6787933132646,
BKNG,2025-03-21,Absolute Volume Spike,574400,4609.302734375,,,,,,,,,,absolute,,,129.31985501046896,
BKNG,2025-04-04,Absolute Volume Spike,508500,4276.63720703125,,,,,,,,,,absolute,,,113.28573179018193,
BKNG,2025-04-07,Absolute Volume Spike,558400,4237.365234375,,,,,,,,,,absolute,,,121.7831283259182,
BKNG,2025-04-09,Absolute Volume Spike,602600,4608.3642578125,,,,,,,,,,absolute,,,127.61136346791193,
MELI,2024-05-03,Volume 3.0σ Spike,1346800,1630.56005859375,433918.0,277646.312735304,1266856.938205912,3.287931292897458,3.1038122410224975,79943.06179408799,6.31034644742927,99.7%,Strong,statistical,,,,
MELI,2024-08-01,Volume 3.0σ Spike,624500,1606.06005859375,297782.0,81920.58795328742,543543.7638598622,3.988228211768944,2.09717175651987,80956.23614013777,14.894152324597382,99.7%,Very Strong,statistical,,,,
MELI,2024-08-02,Volume 3.0σ Spike,958300,1776.1400146484375,311378.0,124171.36166259478,683892.0849877843,5.209913069632368,3.0776098504069007,274407.91501221573,40.124446683297585,99.7%,Extreme,statistical,,,,
MELI,2024-11-07,Volume 3.0σ Spike,2966800,1774.050048828125,337966.0,388167.5330554674,1502468.5991664021,6.772421122671152,8.778397827000349,1464331.4008335979,97.461697478805,99.7%,Extreme,statistical,,,,
MELI,2025-02-21,Volume 3.0σ Spike,1257200,2260.0,388670.0,206726.96796914111,1008850.9039074234,4.201338647455269,3.234620629325649,248349.09609257663,24.617026671699968,99.7%,Extreme,statistical,,,,
MELI,2025-08-05,Volume 3.0σ Spike,1124100,2408.02001953125,339934.0,158567.56959268384,815636.7087780515,4.94531133960308,3.306818382391876,308463.29122194846,37.81871118626743,99.7%,Extreme,statistical,,,,
