Ticker,Date,UnusualVolume,Z_Score,Volume_Percentile,Volume_vs_Mean_Ratio,Volume_vs_Threshold_Ratio,Dataset_Volume_Mean,Dataset_Volume_Std,Statistical_Threshold,Total_Anomalies_Found,Anomaly_Rate_Pct,Close,Anomaly_Strength
BKNG,2024-02-23,958500,6.66,100.0,3.93,1.69,244036.0,107297.0,565928.0,7,1.66,3462.06689453125,Weak
BKNG,2024-03-15,771100,4.91,99.5,3.16,1.36,244036.0,107297.0,565928.0,7,1.66,3379.865234375,Weak
BKNG,2024-08-02,801500,5.2,99.8,3.28,1.42,244036.0,107297.0,565928.0,7,1.66,3302.45751953125,Weak
BKNG,2024-08-05,665200,3.93,99.0,2.73,1.18,244036.0,107297.0,565928.0,7,1.66,3357.3310546875,Weak
BKNG,2025-02-21,724500,4.48,99.3,2.97,1.28,244036.0,107297.0,565928.0,7,1.66,4971.8544921875,Weak
BKNG,2025-03-21,574400,3.08,98.6,2.35,1.01,244036.0,107297.0,565928.0,7,1.66,4609.302734375,Weak
BKNG,2025-04-09,602600,3.34,98.8,2.47,1.06,244036.0,107297.0,565928.0,7,1.66,4608.3642578125,Weak
MELI,2024-02-23,1858200,6.62,99.8,4.91,1.77,378748.0,223365.0,1048843.0,6,1.43,1629.3199462890625,Weak
MELI,2024-05-03,1346800,4.33,99.3,3.56,1.28,378748.0,223365.0,1048843.0,6,1.43,1630.56005859375,Weak
MELI,2024-11-07,2966800,11.59,100.0,7.83,2.83,378748.0,223365.0,1048843.0,6,1.43,1774.050048828125,Moderate
MELI,2024-11-08,1356900,4.38,99.5,3.58,1.29,378748.0,223365.0,1048843.0,6,1.43,1872.010009765625,Weak
MELI,2025-02-21,1257200,3.93,99.0,3.32,1.2,378748.0,223365.0,1048843.0,6,1.43,2260.0,Weak
MELI,2025-08-05,1124100,3.34,98.8,2.97,1.07,378748.0,223365.0,1048843.0,6,1.43,2408.02001953125,Weak
REGN,2024-10-31,2291400,3.04,99.0,2.92,1.01,783479.0,496786.0,2273838.0,5,1.19,834.6220092773438,Weak
REGN,2025-04-29,2660300,3.78,99.3,3.4,1.17,783479.0,496786.0,2273838.0,5,1.19,567.20947265625,Weak
REGN,2025-05-08,2709200,3.88,99.5,3.46,1.19,783479.0,496786.0,2273838.0,5,1.19,546.0328979492188,Weak
