ticker,current_price,daily_daily_yearly_252d_pct_change,daily_daily_monthly_22d_pct_change,daily_rsi_14,atr_pct
NVDA,174.18,38.71,-2.07,35.75,2.84
MSFT,506.69,24.12,-5.03,36.29,1.52
AAPL,232.14,2.97,11.96,60.39,1.84
GOOGL,212.91,31.37,10.95,72.45,2.07
GOOG,213.53,30.43,10.72,72.87,2.04
AMZN,229.0,34.07,-2.18,61.4,2.0
META,738.7,43.43,-4.49,39.23,2.27
AVGO,297.39,90.15,1.26,45.12,3.18
TSLA,333.87,62.27,8.3,46.82,3.76
JPM,301.42,39.27,1.75,69.9,1.56
WMT,96.98,28.71,-0.79,25.53,1.67
LLY,732.58,-22.21,-0.79,83.83,2.99
V,351.78,31.6,2.01,79.3,1.47
ORCL,226.13,65.72,-10.89,27.19,3.39
MA,595.29,26.9,5.09,74.49,1.37
NFLX,1208.25,76.69,4.21,46.93,2.22
XOM,114.29,1.63,3.33,95.49,1.53
JNJ,177.17,11.58,8.33,67.59,1.31
COST,943.32,6.77,0.53,29.7,1.54
HD,406.77,11.78,10.68,62.55,1.82
PLTR,156.71,416.17,-1.04,24.14,4.79
BAC,50.74,30.12,7.34,83.58,1.59
ABBV,210.4,11.53,11.31,79.79,1.72
PG,157.04,-4.76,4.37,56.82,1.37
CVX,160.6,14.99,7.09,75.15,1.58
KO,68.99,-1.03,1.62,37.61,1.31
ASML,742.62,-15.77,6.9,57.62,2.14
GE,275.2,61.15,1.52,50.0,2.08
TMUS,251.99,26.86,5.7,56.43,1.69
UNH,309.87,-46.36,24.17,81.05,3.28
CSCO,69.09,42.4,1.48,42.39,1.76
AMD,162.63,11.12,-7.76,40.8,4.05
PM,167.13,41.71,1.88,44.2,2.08
AZN,79.9,-6.59,10.08,82.07,1.53
C,96.57,61.64,3.74,64.83,1.89
PDD,120.22,34.82,5.97,61.85,3.47
QCOM,160.73,-4.42,9.52,74.44,2.06
GEV,612.97,233.79,-7.17,36.01,3.63
ISRG,473.3,-1.85,-1.62,51.21,2.01
ANET,136.55,60.1,10.82,47.71,3.27
SPGI,548.44,9.32,-0.31,43.26,1.42
ACN,259.97,-21.53,-2.67,79.57,2.16
APP,478.59,443.85,22.5,54.17,4.73
BSX,105.5,32.67,0.55,62.47,1.6
AMGN,287.71,-10.49,-2.5,53.73,1.9
HPQ,28.54,-14.7,15.08,73.86,2.43
LULU,202.2,-21.88,0.83,64.24,3.03
VRSN,273.37,51.72,1.97,59.95,1.89
NTRS,131.28,52.62,0.98,68.08,1.79
FE,43.62,3.86,3.19,54.08,1.22
XLF,53.99,22.03,3.09,75.59,0.98
XLE,90.39,4.01,3.65,90.39,1.43
XLK,262.45,20.43,-0.11,46.98,1.37
XLV,137.43,-10.28,5.37,75.72,1.18
XLI,152.01,19.39,0.0,56.41,1.04
XLB,92.28,1.45,5.19,75.53,1.17
XLRE,42.31,1.0,2.17,66.93,1.14
XLP,80.78,0.67,1.25,37.4,1.02
XLY,231.74,26.98,4.66,66.61,1.21
XLU,84.32,15.26,-1.58,36.5,1.13
XLC,111.39,29.57,3.71,69.74,1.01
VGT,697.02,23.0,0.95,51.08,1.41
SPY,645.05,16.98,2.05,61.04,0.8
QQQ,570.4,21.7,0.95,47.47,1.1
